# 
# VizieR Astronomical Server vizier.cfa.harvard.edu
# Date: 2016-02-13T00:32:03 [V1.99+ (14-Oct-2013)]
# In case of problem, please report to:	cds-question@unistra.fr
# 
# 
# Coosys	J2000:	eq_FK5 J2000
# INFO	votable-version=1.99+ (14-Oct-2013)
# INFO	-ref=VIZ56be79032983
# INFO	-out.max=99999
# INFO	queryParameters=23
# -oc.form=dec
# -out.max=99999
# -order=I
# -out.src=J/AJ/149/119/table3
# -nav=cat:J/AJ/149/119&tab:{J/AJ/149/119/table3}&key:source=J/AJ/149/119&HTTPPRM:&&-ref=VIZ56be79032983&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=2MASS&-out=RAJ2000&-out=DEJ2000&-out=<HRV>&-out=e_<HRV>&-out=Nobs&-out=EW&-out=SpT&-out=K-3.6&-out=3.6-4.5&-out=F06&-out=2M&-ignore=2M=*&2M=2M&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/149/119/table3
# -c.eq=J2000
# -c.r=  2
# -c.u=arcmin
# -c.geom=r
# -source=J/AJ/149/119/table3
# -order=I
# -out=2MASS
# -out=RAJ2000
# -out=DEJ2000
# -out=<HRV>
# -out=e_<HRV>
# -out=Nobs
# -out=EW
# -out=SpT
# -out=K-3.6
# -out=3.6-4.5
# -out=F06
# -out=2M
# 
# RESOURCE=yCat_51490119
# Name: J/AJ/149/119
# Title: Radial velocities of stars in NGC 2264 (Tobin+, 2015)
# Table	J_AJ_149_119_table3:
# Name: J/AJ/149/119/table3
# Title: Velocity summary
# Column	2MASS	(A14)	Internal source name (HHMMSSs+DDMMSS, J2000)	[ucd=meta.id;meta.main]
# Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
# Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
# Column	<HRV>	(F7.2)	[-108/235] Mean Heliocentric Radial Velocity (1)	[ucd=spect.dopplerVeloc;stat.mean]
# Column	e_<HRV>	(F5.2)	Uncertainty in HRV	[ucd=stat.error]
# Column	Nobs	(I2)	[2/14] Number of observations (epochs) (2)	[ucd=meta.number]
# Column	EW	(F6.2)	? Lithium 6707{AA} Equivalent Width	[ucd=spect.line.eqWidth]
# Column	SpT	(F5.1)	[61/77.2]? Numerical spectral type (3)	[ucd=src.spType]
# Column	K-3.6	(F6.2)	[-23/22]? The Ks-[3.6] color index (4)	[ucd=phot.color;em.IR.K;em.IR.3-4um]
# Column	3.6-4.5	(F6.2)	[-22/22]? The [3.6]-[4.5] color index (4)	[ucd=phot.color;em.IR.3-4um;em.IR.4-8um]
# Column	F06	(I3)	Source from Furesz et al. 2006 (cat. J/ApJ/648/1090) within 1.5'' [NULL integer written as an empty string]	[ucd=meta.ref.url]
# Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
2MASS;RAJ2000;DEJ2000;<HRV>;e_<HRV>;Nobs;EW;SpT;K-3.6;3.6-4.5;F06;2M
0640137+095630;06 40 13.70;+09 56 30.6;8.12;0.99;3;-999;-999;0.98;0.62;1;2M
0640142+094652;06 40 14.23;+09 46 52.8;-31.85;0.40;7;-999;-999;0.07;-0.02;1;2M
0640151+100157;06 40 15.16;+10 01 57.8;3.97;0.63;3;-999;-999;N/A;0.36;1;2M
0640153+094242;06 40 15.35;+09 42 42.4;12.08;0.42;8;0.38;1.232;0.14;-0.06;1;2M
0640153+095918;06 40 15.39;+09 59 18.6;-28.12;2.59;2;-999;-999;0.12;0.07;0;2M
0640155+092534;06 40 15.58;+09 25 34.5;-42.95;0.29;4;-999;-999;0.15;-0.10;1;2M
0640160+095737;06 40 16.04;+09 57 37.7;-5.04;0.48;3;0.00;0.847;0.24;0.00;0;2M
0640166+094022;06 40 16.69;+09 40 22.6;10.38;1.26;2;-999;-999;0.43;0.14;0;2M
0640176+094758;06 40 17.62;+09 47 58.0;0.54;0.94;2;0.00;1.216;0.19;0.05;0;2M
0640180+095022;06 40 18.02;+09 50 22.1;3.90;2.91;2;-999;-999;0.28;0.10;0;2M
0640186+100024;06 40 18.64;+10 00 24.8;3.47;0.67;4;-999;-999;1.19;0.61;0;2M
0640199+095738;06 40 19.94;+09 57 38.4;45.07;0.17;3;-999;-999;0.13;0.01;0;2M
0640200+092828;06 40 20.09;+09 28 28.5;5.56;0.04;2;0.67;1.33;0.33;0.34;0;2M
0640202+095606;06 40 20.27;+09 56 06.4;8.14;1.65;7;-999;-999;0.60;0.39;1;2M
0640209+092354;06 40 20.96;+09 23 54.2;-11.87;0.12;3;-999;-999;0.19;-0.03;1;2M
0640210+094628;06 40 21.06;+09 46 28.0;6.96;0.94;2;0.00;1.24;0.20;0.04;0;2M
0640211+095902;06 40 21.16;+09 59 02.5;15.27;0.69;10;0.19;1.232;0.21;0.14;1;2M
0640213+092014;06 40 21.31;+09 20 14.2;-19.13;0.22;4;-999;-999;0.03;-0.01;1;2M
0640222+095428;06 40 22.22;+09 54 28.9;6.57;0.35;6;-999;-999;0.17;0.00;1;2M
0640231+095619;06 40 23.13;+09 56 19.9;-45.05;0.79;2;-999;-999;0.05;-0.06;0;2M
0640234+095455;06 40 23.42;+09 54 55.6;7.74;1.60;4;-999;-999;0.70;0.27;0;2M
0640234+095923;06 40 23.48;+09 59 23.3;22.30;0.10;3;-999;-999;0.22;-0.06;0;2M
0640234+100135;06 40 23.46;+10 01 35.7;6.98;4.96;2;0.00;1.649;N/A;0.12;0;2M
0640236+095951;06 40 23.69;+09 59 51.5;29.38;0.14;7;-999;-999;0.15;-0.05;1;2M
0640237+095523;06 40 23.73;+09 55 23.9;8.18;0.90;10;-999;-999;0.72;0.42;1;2M
0640241+093412;06 40 24.16;+09 34 12.5;2.03;0.57;2;0.56;1.454;0.77;0.48;1;2M
0640254+094825;06 40 25.48;+09 48 26.0;9.47;0.28;5;-999;-999;0.09;0.02;0;2M
0640256+095835;06 40 25.69;+09 58 35.6;5.31;0.12;4;-999;-999;0.07;-0.01;1;2M
0640256+095959;06 40 25.65;+09 59 59.7;4.36;0.71;5;-999;-999;0.54;0.28;0;2M
0640257+100111;06 40 25.73;+10 01 11.2;-31.08;0.09;2;-999;-999;0.15;0.03;0;2M
0640260+095820;06 40 26.08;+09 58 20.8;14.63;2.63;2;-999;-999;N/A;0.01;0;2M
0640265+093522;06 40 26.52;+09 35 22.0;4.98;2.66;2;0.60;1.468;0.22;0.05;0;2M
0640267+092528;06 40 26.76;+09 25 28.3;35.07;0.52;4;-999;-999;0.01;-0.08;1;2M
0640272+092036;06 40 27.29;+09 20 36.9;-67.59;0.63;2;-999;-999;0.22;-0.04;0;2M
0640272+092221;06 40 27.22;+09 22 21.2;-9.24;0.11;2;-999;-999;0.12;0.13;0;2M
0640273+092727;06 40 27.38;+09 27 27.5;-107.35;0.68;2;-999;-999;0.28;0.18;0;2M
0640281+092345;06 40 28.15;+09 23 45.6;3.27;1.29;2;-999;-999;0.21;0.05;0;2M
0640284+095831;06 40 28.49;+09 58 31.9;60.10;0.06;2;-999;-999;0.13;-0.01;0;2M
0640285+093547;06 40 28.59;+09 35 47.6;2.29;0.29;9;0.57;1.408;0.10;-0.01;1;2M
0640287+093100;06 40 28.78;+09 31 00.3;1.30;0.27;8;-999;-999;-20.01;0.02;1;2M
0640289+094217;06 40 28.95;+09 42 17.1;5.79;0.23;8;0.58;1.361;0.28;-0.01;1;2M
0640292+094407;06 40 29.25;+09 44 07.5;4.32;1.38;7;0.30;1.5;0.23;0.02;1;2M
0640294+100047;06 40 29.47;+10 00 47.8;-64.56;0.26;5;-999;-999;0.11;0.01;1;2M
0640296+091851;06 40 29.69;+09 18 51.8;1.75;0.41;2;-999;-999;0.15;0.06;0;2M
0640297+095933;06 40 29.75;+09 59 33.3;6.70;0.33;12;-999;-999;0.14;-0.04;1;2M
0640298+095010;06 40 29.89;+09 50 10.4;9.87;0.36;11;-999;-999;0.10;-0.04;1;2M
0640305+095014;06 40 30.60;+09 50 14.8;8.33;1.51;6;1.02;1.517;0.63;0.28;0;2M
0640306+094610;06 40 30.62;+09 46 10.6;4.52;0.39;12;-999;-999;0.08;0.00;1;2M
0640307+094807;06 40 30.77;+09 48 07.7;7.58;0.74;7;-999;-999;0.08;0.22;1;2M
0640309+100625;06 40 30.98;+10 06 25.5;5.02;0.29;2;-999;-999;N/A;0.24;0;2M
0640312+093107;06 40 31.27;+09 31 07.5;-3.26;1.14;2;-999;-999;-0.27;-0.02;0;2M
0640313+094129;06 40 31.34;+09 41 29.2;16.88;0.40;9;-999;-999;0.21;0.04;1;2M
0640316+094823;06 40 31.64;+09 48 23.4;3.45;0.36;8;-999;-999;0.20;0.04;1;2M
0640318+093600;06 40 31.83;+09 36 00.6;1.23;0.21;2;0.62;1.522;0.17;0.02;0;2M
0640318+094315;06 40 31.84;+09 43 15.3;32.49;2.87;2;-999;-999;0.10;0.08;0;2M
0640328+095129;06 40 32.80;+09 51 29.3;6.68;0.98;7;-999;-999;0.16;0.04;1;2M
0640329+093618;06 40 32.99;+09 36 18.5;-103.16;0.90;2;-999;-999;0.54;0.13;0;2M
0640330+092311;06 40 33.00;+09 23 11.1;34.84;0.25;2;-999;-999;0.15;0.08;0;2M
0640333+095853;06 40 33.33;+09 58 53.0;5.18;0.40;3;-999;-999;0.18;0.04;0;2M
0640337+091718;06 40 33.73;+09 17 18.9;22.58;3.15;2;-999;-999;-0.20;0.02;0;2M
0640337+093257;06 40 33.76;+09 32 57.0;-45.70;0.17;5;-999;-999;0.03;0.01;1;2M
0640337+100019;06 40 33.73;+10 00 19.3;40.91;0.68;3;-999;-999;0.11;0.07;0;2M
0640338+100250;06 40 33.84;+10 02 50.4;22.61;0.02;2;-999;-999;0.19;0.01;0;2M
0640343+093851;06 40 34.30;+09 38 51.7;-7.30;0.17;8;-999;-999;0.02;-0.07;1;2M
0640344+093518;06 40 34.47;+09 35 18.3;1.31;0.43;8;-999;-999;0.49;0.16;1;2M
0640347+095946;06 40 34.72;+09 59 46.7;4.00;0.56;3;-999;-999;0.19;0.00;0;2M
0640347+100120;06 40 34.77;+10 01 20.6;32.23;0.21;3;-999;-999;0.14;0.00;0;2M
0640363+092244;06 40 36.36;+09 22 44.5;11.34;0.26;8;-999;-999;0.15;0.04;1;2M
0640365+095045;06 40 36.52;+09 50 45.6;9.40;0.69;10;0.63;1.461;0.73;0.35;1;2M
0640366+094822;06 40 36.63;+09 48 23.0;5.39;0.28;10;-999;-999;0.14;-0.06;1;2M
0640366+095203;06 40 36.66;+09 52 03.2;4.91;0.69;9;0.43;1.282;1.08;0.62;1;2M
0640369+093909;06 40 36.98;+09 39 09.8;8.43;0.48;2;0.59;1.441;0.10;0.09;0;2M
0640371+092651;06 40 37.20;+09 26 51.3;-32.84;0.23;5;-999;-999;0.01;-0.07;0;2M
0640372+093109;06 40 37.21;+09 31 09.9;5.13;0.70;9;-999;-999;0.18;0.05;1;2M
0640374+095521;06 40 37.46;+09 55 21.3;4.73;2.24;2;0.59;1.361;0.15;0.02;0;2M
0640378+091730;06 40 37.85;+09 17 30.2;-48.37;0.05;2;-999;-999;N/A;0.00;0;2M
0640378+093454;06 40 37.87;+09 34 54.0;1.30;0.57;12;0.78;1.475;0.88;0.23;1;2M
0640378+094010;06 40 37.80;+09 40 10.6;10.73;1.77;2;0.00;1.224;0.17;0.09;0;2M
0640379+091816;06 40 37.91;+09 18 16.7;-0.74;0.01;2;-999;-999;N/A;-0.03;0;2M
0640380+093249;06 40 38.03;+09 32 49.2;8.38;6.07;2;-999;-999;0.20;-0.05;0;2M
0640381+092952;06 40 38.20;+09 29 52.5;1.35;0.76;9;0.47;1.479;0.45;0.28;0;2M
0640386+093656;06 40 38.68;+09 36 57.0;4.21;1.86;7;0.64;1.535;0.25;0.04;0;2M
0640387+092138;06 40 38.78;+09 21 38.3;4.42;0.11;9;-999;-999;-0.05;0.01;1;2M
0640390+093600;06 40 39.02;+09 36 00.0;3.58;0.24;2;0.58;1.408;0.25;0.07;0;2M
0640391+095058;06 40 39.12;+09 50 58.6;6.01;0.25;7;-999;-999;0.90;0.44;1;2M
0640393+093445;06 40 39.34;+09 34 45.6;4.63;1.13;8;-999;-999;2.06;0.73;1;2M
0640394+094256;06 40 39.47;+09 42 56.3;-20.04;0.66;2;-999;-999;0.25;0.00;0;2M
0640394+094839;06 40 39.48;+09 48 40.0;85.01;0.15;6;-999;-999;0.10;-0.07;0;2M
0640395+091751;06 40 39.53;+09 17 51.3;0.11;0.21;2;-999;-999;0.23;0.00;0;2M
0640400+093502;06 40 40.06;+09 35 02.9;1.85;0.19;7;-999;-999;1.07;0.27;1;2M
0640400+095104;06 40 40.01;+09 51 04.7;-29.58;1.85;2;-999;-999;N/A;0.04;0;2M
0640402+100023;06 40 40.23;+10 00 23.7;38.16;2.19;3;-999;-999;0.11;0.00;0;2M
0640410+092754;06 40 41.01;+09 27 54.3;3.59;0.49;10;0.59;1.376;0.33;0.09;1;2M
0640410+094757;06 40 41.03;+09 47 57.7;5.85;0.20;9;0.64;1.33;0.20;-0.03;1;2M
0640411+095256;06 40 41.14;+09 52 56.5;4.35;0.34;9;-999;-999;1.09;0.46;1;2M
0640412+091757;06 40 41.28;+09 17 57.0;3.08;0.41;2;-999;-999;0.22;-0.06;0;2M
0640412+095430;06 40 41.25;+09 54 30.9;42.50;0.95;2;-999;-999;0.31;0.01;0;2M
0640413+095102;06 40 41.32;+09 51 02.4;9.88;0.57;7;0.46;1.421;0.81;0.35;1;2M
0640413+095413;06 40 41.36;+09 54 13.9;10.85;0.35;11;-999;-999;0.77;0.36;1;2M
0640414+094809;06 40 41.42;+09 48 09.6;5.10;0.44;7;-999;-999;0.04;0.05;1;2M
0640415+095517;06 40 41.56;+09 55 17.4;-29.72;0.72;7;-999;-999;0.00;-0.01;1;2M
0640419+094355;06 40 41.93;+09 43 55.2;1.10;1.27;7;0.69;1.535;0.68;0.22;0;2M
0640424+093220;06 40 42.45;+09 32 20.6;2.91;0.30;11;0.42;1.24;0.13;-0.02;1;2M
0640424+100153;06 40 42.40;+10 01 53.5;32.92;0.56;2;-999;-999;-0.09;0.12;0;2M
0640426+095348;06 40 42.62;+09 53 48.0;9.35;0.55;2;-999;-999;-21.62;0.02;0;2M
0640432+093114;06 40 43.24;+09 31 15.0;1.66;0.70;7;0.50;1.567;0.27;0.10;1;2M
0640433+095059;06 40 43.35;+09 50 59.5;6.53;0.30;8;-999;-999;0.11;0.02;1;2M
0640434+092840;06 40 43.43;+09 28 40.9;1.67;0.22;8;0.58;1.454;0.09;0.10;1;2M
0640436+091704;06 40 43.60;+09 17 04.0;46.40;0.12;2;-999;-999;0.16;0.02;0;2M
0640441+092355;06 40 44.13;+09 23 55.4;-2.20;0.50;8;-999;-999;0.00;-0.01;1;2M
0640442+095339;06 40 44.24;+09 53 39.4;5.74;3.28;2;0.00;1.696;0.31;0.22;0;2M
0640445+093226;06 40 44.59;+09 32 26.2;-3.16;0.28;2;-999;-999;0.42;0.15;0;2M
0640445+094812;06 40 44.59;+09 48 12.6;6.21;0.40;2;-999;-999;-20.50;0.05;0;2M
0640451+092844;06 40 45.16;+09 28 44.4;1.20;0.55;7;-999;-999;0.50;0.17;1;2M
0640452+092354;06 40 45.21;+09 23 54.7;12.32;3.27;6;-999;-999;0.09;0.10;0;2M
0640455+095123;06 40 45.54;+09 51 23.1;7.48;0.55;9;0.00;1.15;0.35;-0.09;1;2M
0640456+092610;06 40 45.62;+09 26 10.5;12.23;0.53;2;-999;-999;0.13;0.01;0;2M
0640456+094803;06 40 45.69;+09 48 03.4;43.53;0.75;2;-999;-999;N/A;-0.03;0;2M
0640458+095946;06 40 45.87;+09 59 46.0;21.21;0.04;2;-999;-999;0.17;-0.11;1;2M
0640460+091758;06 40 46.01;+09 17 58.2;0.27;0.54;6;-999;-999;0.16;0.08;1;2M
0640461+094750;06 40 46.10;+09 47 50.2;5.60;0.37;2;-999;-999;0.29;-0.09;0;2M
0640464+095946;06 40 46.45;+09 59 46.4;4.92;1.57;9;-999;-999;0.11;0.01;1;2M
0640467+095424;06 40 46.73;+09 54 24.7;7.82;0.44;10;-999;-999;0.19;-0.04;1;2M
0640470+094607;06 40 47.01;+09 46 07.6;9.10;0.03;3;-999;-999;0.06;-0.05;0;2M
0640471+091833;06 40 47.13;+09 18 33.2;18.04;0.92;7;-999;-999;0.12;0.03;1;2M
0640471+092849;06 40 47.18;+09 28 49.9;-0.08;0.01;2;-999;-999;N/A;0.02;0;2M
0640471+093240;06 40 47.11;+09 32 40.1;3.44;0.42;8;-999;-999;0.63;0.34;1;2M
0640471+094207;06 40 47.12;+09 42 07.7;3.66;1.14;10;0.52;1.497;0.63;0.26;1;2M
0640472+095309;06 40 47.21;+09 53 09.2;8.59;1.37;3;-999;-999;0.29;-0.15;0;2M
0640475+094928;06 40 47.50;+09 49 29.0;9.84;0.78;6;0.49;0.98;-18.41;0.25;1;2M
0640475+100057;06 40 47.57;+10 00 57.4;7.42;5.49;2;0.41;1.590;0.23;0.08;0;2M
0640479+100122;06 40 47.99;+10 01 22.5;55.81;0.71;2;-999;-999;0.18;-0.01;0;2M
0640486+093252;06 40 48.62;+09 32 52.4;0.97;0.13;2;-999;-999;N/A;-0.03;0;2M
0640487+093242;06 40 48.75;+09 32 42.5;6.12;1.31;2;0.54;1.392;0.17;0.02;0;2M
0640488+094325;06 40 48.84;+09 43 25.7;12.24;0.81;7;0.59;1.282;1.21;0.53;1;2M
0640488+094326;06 40 48.80;+09 43 26.0;10.88;2.34;2;-999;-999;N/A;0.53;1;2M
0640489+091711;06 40 48.90;+09 17 11.6;54.17;1.78;2;-999;-999;0.09;0.10;0;2M
0640490+095745;06 40 49.04;+09 57 45.1;-24.11;1.07;2;-999;-999;0.23;-0.02;0;2M
0640492+095738;06 40 49.21;+09 57 38.8;11.12;0.49;8;0.68;1.468;0.26;0.01;0;2M
0640500+094943;06 40 50.06;+09 49 43.0;4.45;0.43;2;-999;-999;0.08;-0.04;0;2M
0640500+095227;06 40 50.08;+09 52 27.5;3.01;1.04;7;-999;-999;0.22;0.02;0;2M
0640501+093725;06 40 50.18;+09 37 25.5;-31.10;0.11;6;-999;-999;0.04;-0.04;1;2M
0640501+095704;06 40 50.14;+09 57 04.0;3.20;0.01;2;0.85;1.539;0.20;0.02;0;2M
0640503+091954;06 40 50.34;+09 19 54.5;-31.85;0.07;5;-999;-999;-0.04;0.03;1;2M
0640503+100104;06 40 50.30;+10 01 04.3;1.68;1.55;2;0.66;1.526;0.18;-0.01;0;2M
0640504+094545;06 40 50.49;+09 45 45.4;-13.12;0.22;2;-999;-999;N/A;0.01;0;2M
0640504+094850;06 40 50.41;+09 48 50.6;70.00;0.01;3;-999;-999;0.04;-0.01;0;2M
0640508+095553;06 40 50.86;+09 55 53.1;6.24;0.70;2;0.60;1.376;0.10;0.03;0;2M
0640511+094446;06 40 51.19;+09 44 46.1;1.15;0.74;8;-999;-999;0.93;0.37;1;2M
0640513+100303;06 40 51.38;+10 03 03.0;4.55;1.26;2;-999;-999;0.17;0.06;0;2M
0640514+093714;06 40 51.46;+09 37 14.5;1.57;0.61;10;0.59;1.408;0.24;-0.05;1;2M
0640514+094121;06 40 51.42;+09 41 21.4;21.33;1.04;2;-999;-999;N/A;-0.03;0;2M
0640515+092844;06 40 51.59;+09 28 44.5;4.53;0.16;8;-999;-999;0.52;0.19;1;2M
0640515+094324;06 40 51.54;+09 43 24.2;7.41;0.44;14;-999;-999;0.61;0.22;1;2M
0640522+095231;06 40 52.20;+09 52 31.2;4.79;0.57;3;0.74;1.408;0.08;-0.03;0;2M
0640522+095643;06 40 52.20;+09 56 43.3;4.96;1.57;2;-999;-999;0.23;-0.01;0;2M
0640525+095058;06 40 52.54;+09 50 58.5;3.63;0.23;2;0.55;1.517;0.20;0.06;0;2M
0640525+095206;06 40 52.55;+09 52 06.0;1.83;1.10;2;0.64;1.475;0.30;0.11;0;2M
0640526+094421;06 40 52.68;+09 44 21.0;3.87;0.33;8;0.58;1.408;0.14;-0.06;1;2M
0640527+092843;06 40 52.73;+09 28 43.8;7.01;1.00;3;-999;-999;-21.47;0.34;1;2M
0640527+094300;06 40 52.76;+09 43 00.4;3.30;1.46;5;-999;-999;0.47;0.24;0;2M
0640529+094454;06 40 52.92;+09 44 54.4;10.22;0.54;13;0.53;1.384;1.01;0.35;1;2M
0640536+094704;06 40 53.63;+09 47 04.4;1.75;0.90;7;0.46;1.613;0.49;0.27;1;2M
0640537+095759;06 40 53.71;+09 57 59.7;5.62;0.88;3;-999;-999;0.02;0.08;0;2M
0640541+095551;06 40 54.20;+09 55 52.0;6.05;0.39;10;0.54;1.384;0.04;0.03;0;2M
0640542+094920;06 40 54.26;+09 49 20.4;8.15;0.74;9;-999;-999;0.83;0.46;1;2M
0640543+094710;06 40 54.31;+09 47 10.7;51.13;0.12;2;-999;-999;-0.46;-0.16;0;2M
0640545+100150;06 40 54.55;+10 01 50.7;39.12;0.38;3;-999;-999;0.23;0.03;0;2M
0640551+095049;06 40 55.18;+09 50 49.8;3.85;2.80;3;0.51;1.427;0.14;0.05;0;2M
0640552+094750;06 40 55.28;+09 47 50.4;-23.64;0.24;6;-999;-999;0.03;-0.08;1;2M
0640553+093958;06 40 55.32;+09 39 58.8;0.71;0.25;2;0.00;1.750;0.99;0.37;0;2M
0640554+093121;06 40 55.49;+09 31 21.8;-14.63;1.14;2;-999;-999;0.16;-0.07;0;2M
0640556+093824;06 40 55.62;+09 38 24.9;4.02;0.30;3;0.80;1.625;0.25;0.19;0;2M
0640557+094645;06 40 55.74;+09 46 45.7;1.10;0.76;3;0.70;1.637;0.48;0.26;1;2M
0640563+092113;06 40 56.39;+09 21 13.7;20.38;0.00;2;-999;-999;N/A;0.07;0;2M
0640563+093553;06 40 56.40;+09 35 53.3;2.84;0.81;5;0.54;1.314;0.93;0.47;0;2M
0640567+093749;06 40 56.80;+09 37 49.0;5.43;0.24;9;-999;-999;0.32;0.20;1;2M
0640568+094843;06 40 56.81;+09 48 43.5;7.26;1.16;2;0.77;1.535;N/A;0.32;0;2M
0640568+094844;06 40 56.83;+09 48 44.1;9.08;2.68;2;-999;-999;N/A;0.32;0;2M
0640568+095156;06 40 56.84;+09 51 56.6;5.08;0.62;7;0.72;1.522;0.10;0.05;1;2M
0640569+094840;06 40 56.95;+09 48 40.7;8.71;0.03;2;-999;-999;0.02;-0.02;0;2M
0640577+093050;06 40 57.77;+09 30 50.3;7.85;0.13;2;-999;-999;0.23;0.03;0;2M
0640578+095108;06 40 57.84;+09 51 08.9;10.82;1.37;7;-999;-999;0.73;0.31;0;2M
0640580+091803;06 40 58.00;+09 18 03.0;7.36;0.14;7;-999;-999;-0.06;0.07;1;2M
0640580+093653;06 40 58.10;+09 36 53.4;-0.92;1.30;2;0.53;1.874;0.77;0.34;0;2M
0640581+095113;06 40 58.10;+09 51 13.5;4.46;0.66;3;-999;-999;0.24;0.05;0;2M
0640582+095544;06 40 58.20;+09 55 44.5;2.45;0.85;2;0.62;1.526;0.20;0.03;0;2M
0640586+093613;06 40 58.67;+09 36 13.3;4.30;1.63;5;0.38;1.637;0.53;0.32;0;2M
0640586+094554;06 40 58.64;+09 45 54.6;26.55;0.43;3;-999;-999;0.07;0.02;0;2M
0640588+093057;06 40 58.84;+09 30 57.3;5.63;0.63;9;-999;-999;0.66;0.15;1;2M
0640588+093918;06 40 58.83;+09 39 18.8;4.13;0.45;5;-999;-999;N/A;0.11;1;2M
0640589+092852;06 40 58.92;+09 28 52.8;1.63;0.71;7;-999;-999;0.28;0.17;1;2M
0640590+094906;06 40 59.04;+09 49 06.2;5.27;0.27;2;0.54;1.494;0.16;-0.04;0;2M
0640593+093333;06 40 59.36;+09 33 33.4;7.04;1.64;9;-999;-999;0.99;0.38;1;2M
0640594+092951;06 40 59.50;+09 29 51.7;2.05;0.49;6;0.47;1.508;-20.42;0.27;0;2M
0640599+094704;06 40 59.91;+09 47 04.4;4.30;0.53;3;0.51;1.590;1.08;0.33;0;2M
0641000+092850;06 41 00.00;+09 28 50.0;4.48;0.66;10;-999;-999;0.30;0.02;1;2M
0641002+093907;06 41 00.22;+09 39 07.0;3.78;2.00;4;0.77;1.602;0.23;0.05;0;2M
0641002+095849;06 41 00.25;+09 58 49.6;4.58;0.57;11;-999;-999;0.04;0.02;1;2M
0641004+095403;06 41 00.43;+09 54 03.5;3.73;2.40;2;-999;-999;0.16;-0.03;0;2M
0641006+092151;06 41 00.70;+09 21 51.5;-21.09;0.69;2;-999;-999;0.27;0.04;0;2M
0641007+095122;06 41 00.78;+09 51 22.3;4.64;0.26;8;-999;-999;0.22;-0.01;1;2M
0641009+093244;06 41 00.98;+09 32 44.4;3.10;0.23;7;-999;-999;0.94;0.22;1;2M
0641011+093452;06 41 01.12;+09 34 52.2;6.50;0.42;7;0.47;1.408;-20.71;0.10;1;2M
0641013+093452;06 41 01.34;+09 34 52.6;5.02;1.01;5;-999;-999;-21.16;0.26;1;2M
0641014+093408;06 41 01.41;+09 34 08.1;3.83;0.37;12;-999;-999;0.17;-0.02;1;2M
0641015+100036;06 41 01.53;+10 00 36.6;4.38;0.55;2;-999;-999;0.06;0.19;0;2M
0641016+092105;06 41 01.69;+09 21 05.6;11.05;0.13;9;-999;-999;0.11;-0.13;1;2M
0641017+094242;06 41 01.72;+09 42 43.0;1.64;6.06;2;0.00;1.494;0.88;0.54;1;2M
0641018+093841;06 41 01.84;+09 38 41.1;5.04;0.49;9;-999;-999;0.60;0.12;1;2M
0641020+094535;06 41 02.05;+09 45 35.7;3.69;0.84;2;0.00;1.486;0.22;0.01;0;2M
0641022+092724;06 41 02.23;+09 27 24.1;4.20;1.48;3;0.64;1.24;0.23;-0.07;0;2M
0641024+095225;06 41 02.45;+09 52 25.0;8.55;0.34;7;-999;-999;0.15;0.04;1;2M
0641025+093455;06 41 02.54;+09 34 55.8;1.75;0.59;2;-999;-999;N/A;0.03;0;2M
0641025+093513;06 41 02.59;+09 35 13.1;3.75;0.40;9;-999;-999;0.03;-0.04;1;2M
0641028+091810;06 41 02.86;+09 18 10.1;-17.66;0.61;2;-999;-999;N/A;0.03;0;2M
0641028+100711;06 41 02.86;+10 07 11.9;4.85;1.19;5;-999;-999;N/A;N/A;1;2M
0641029+094754;06 41 02.96;+09 47 54.3;-7.56;0.51;6;-999;-999;-0.06;-0.01;1;2M
0641032+095755;06 41 03.28;+09 57 55.0;2.23;0.23;2;-999;-999;0.23;0.02;0;2M
0641033+094044;06 41 03.38;+09 40 44.8;3.65;0.62;11;0.53;1.475;0.14;0.06;1;2M
0641035+100035;06 41 03.57;+10 00 35.4;4.70;0.25;8;-999;-999;0.22;0.15;1;2M
0641037+092739;06 41 03.74;+09 27 39.8;3.33;1.58;2;-999;-999;0.08;0.09;0;2M
0641039+095809;06 41 03.94;+09 58 09.5;6.84;1.17;10;-999;-999;0.19;0.00;1;2M
0641040+092332;06 41 04.03;+09 23 32.2;7.21;0.27;10;-999;-999;-0.81;0.25;1;2M
0641040+093521;06 41 04.07;+09 35 21.1;5.66;1.00;3;0.55;1.475;0.36;0.22;0;2M
0641040+094908;06 41 04.04;+09 49 08.8;2.39;0.49;10;0.51;1.254;0.33;-0.07;1;2M
0641041+095202;06 41 04.18;+09 52 02.0;5.16;0.31;2;-999;-999;0.12;-0.02;0;2M
0641042+092452;06 41 04.29;+09 24 52.2;1.92;0.43;5;-999;-999;0.91;0.46;1;2M
0641043+093547;06 41 04.32;+09 35 47.8;5.90;1.59;2;0.64;1.613;N/A;0.20;0;2M
