#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-02-04T00:53:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56b2a0a85653	
#INFO	-out.max=999999	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/106/1059&tab:{J/AJ/106/1059/table1}&key:source=J/AJ/106/1059/table1&HTTPPRM:&&-ref=VIZ56b2a0a85653&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/AJ/106/1059/table1
#-order=I
#-out=fgk
#-out=name
#-out=Sp
#-out=(B-V)0
#-out=u_(B-V)0
#-out=Teff
#-out=l_vsini
#-out=vsini
#-out=u_vsini
#-out=n_vsini
#-out.all=2
#-out=log(RHalpha)
#-out=log(R8542)
#-out=W7699
#-out=W6717
#-out=n_W6717
#-out=l_W6708
#-out=W6708
#-out=u_W6708
#-out=n_W6708
#-out=q
#-out=l_log(N(Li))
#-out=log(N(Li))
#-out=u_log(N(Li))
#-out.all=2
#

#RESOURCE=yCat_51061059
#Name: J/AJ/106/1059
#Title: Lithium in the Pleiades (Soderblom+, 1993)
#Table	J_AJ_106_1059_table1:
#Name: J/AJ/106/1059/table1
#Title: Observations of Lithium in Pleiades F, G, and K dwarfs
#Column	fgk	(a4)	fgk number from Soderblom et al. (1993ApJS...85..315S) (hereafter SSHJ)	[ucd=meta.id]
#Column	name	(a4)	Hertzsprung (H II) designation. A "P" prefix denotes a Pels star.	[ucd=meta.id;meta.main]
#Column	Sp	(a6)	Spectral type	[ucd=src.spType]
#Column	(B-V)0	(F6.3)	Dereddened (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	u_(B-V)0	(A1)	Uncertainty flag on (B-V)0	[ucd=meta.code.error]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error]
#Column	vsini	(F5.1)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	u_vsini	(A1)	uncertainty flag on vsini	[ucd=meta.code.error]
#Column	n_vsini	(A1)	[S ] 'S' indicating a double-lined spectroscopic binary whose vsini values are given in table2 of SSHJ (SB2).	[ucd=meta.note]
#Column	log(RHalpha)	(F5.2)	[]? Ratio of the Halpha flux to the stellar bolometric flux, log R(Halpha) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	log(R8542)	(F5.2)	[]? Ratio of the 8542 A Ca II line flux to the stellar bolometric flux, logR(8542) from SSHJ	[ucd=phot.flux;arith.ratio]
#Column	W7699	(F4.1)	[]? Equivalent width of K I 7699A line	[ucd=spect.line.eqWidth]
#Column	W6717	(F4.1)	[]? Equivalent width of Ca I 6717 A line	[ucd=spect.line.eqWidth]
#Column	n_W6717	(A1)	Note on W6717. See note (1)	[ucd=meta.note]
#Column	l_W6708	(A1)	Limit flag on W6708	[ucd=meta.code.error]
#Column	W6708	(F4.1)	Equivalent width of Li I 6708 A line, corrected for Fe I 6707.441.	[ucd=spect.line.eqWidth]
#Column	u_W6708	(A1)	Uncertainty flag on W6708	[ucd=meta.code.error]
#Column	n_W6708	(A1)	Note on W6708. See note (1)	[ucd=meta.note]
#Column	q	(a6)	Source and quality code (2)	[ucd=meta.code.qual]
#Column	l_log(N(Li))	(A1)	Limiting character for lithium abundance	[ucd=meta.code.error]
#Column	log(N(Li))	(F5.2)	Abundance of lithium (scale logN(H)=12)	[ucd=phys.abund]
#Column	u_log(N(Li))	(A1)	Uncertainty flag on log(N(Li))	[ucd=meta.code.error]
fgk;name;Sp;(B-V)0;u_(B-V)0;Teff;l_vsini;vsini;u_vsini;n_vsini;log(RHalpha);log(R8542);W7699;W6717;n_W6717;l_W6708;W6708;u_W6708;n_W6708;q;l_log(N(Li));log(N(Li));u_log(N(Li))
g316 ; 2027 ; K0V    ;  0.818 ;   ; 5120 ;   ;       ;   ; S ;       ;       ; 25.6 ; 18.5 ;   ;   ; 13.5 ;   ;   ; b      ;   ;  2.18 ; 
g317 ; 2106 ; K0V    ;  0.823 ;   ; 5100 ; < ;   7.0 ;   ;   ; -4.63 ; -4.64 ; 23.9 ; 18.5 ;   ;   ; 11.6 ;   ;   ; a      ;   ;  2.04 ; 
g318 ; 2126 ; K0V    ;  0.815 ;   ; 5120 ; < ;   7.0 ;   ;   ; -4.72 ; -4.77 ; 16.5 ; 18.1 ;   ;   ; 15.1 ;   ;   ; a      ;   ;  2.27 ; 
g319 ; 2278 ;        ;  0.828 ;   ; 5080 ;   ;   9.0 ;   ;   ; -4.40 ; -4.47 ; 25.7 ; 20.8 ;   ;   ; 21.4 ;   ;   ; a      ;   ;  2.59 ; 
g320 ; 2880 ;        ;  0.818 ;   ; 5120 ; < ;   7.0 ;   ;   ; -4.56 ; -4.68 ; 24.2 ; 17.8 ;   ;   ; 12.2 ;   ;   ; b      ;   ;  2.10 ; 
k101 ;  636 ;        ;  0.981 ;   ; 4660 ; < ;   7.0 ;   ;   ; -4.49 ; -4.47 ; 29.5 ; 23.6 ;   ;   ; 15.2 ;   ;   ; a      ;   ;  1.68 ; 
k102 ;  885 ; K3V    ;  0.988 ;   ; 4640 ;   ;   7.5 ;   ;   ; -4.46 ; -4.78 ; 35.4 ; 24.6 ;   ;   ; 14.8 ;   ;   ; b      ;   ;  1.63 ; 
k103 ; 1039 ; K2V    ;  0.958 ;   ; 4720 ; < ;   7.0 ;   ;   ; -4.05 ; -4.23 ; 35.4 ; 23.5 ;   ;   ; 33.3 ;   ;   ; b      ;   ;  2.94 ; 
k104 ; 1124 ; K2V    ;  0.924 ;   ; 4800 ;   ;   7.5 ;   ;   ;       ;       ; 36.9 ; 23.7 ;   ;   ; 21.7 ;   ;   ; b      ;   ;  2.25 ; 
k105 ; 1298 ;        ;  0.957 ;   ; 4720 ; < ;   7.0 ;   ;   ; -4.56 ; -4.62 ; 29.4 ; 24.2 ;   ;   ;  9.1 ;   ;   ; a      ;   ;  1.41 ; 
k106 ; 1332 ; K4V    ;  0.988 ;   ; 4640 ;   ;   7.5 ;   ;   ; -4.31 ; -4.74 ; 44.4 ; 27.3 ;   ;   ;  3.5 ;   ;   ; a      ;   ;  0.80 ; 
k107 ; 2034 ; K2.5V  ;  0.941 ;   ; 4760 ;   ;  75.0 ;   ;   ;       ;       ;      ; 25.6 ;   ;   ; 22.2 ;   ;   ; Bu     ;   ;  2.23 ; 
k108 ; 2244 ; K2.5V  ;  0.955 ;   ; 4720 ;   ;  50.0 ;   ;   ; -3.67 ;       ;      ; 21.8 ;   ;   ; 26.8 ;   ;   ; Bu     ;   ;  2.48 ; 
k109 ; 2407 ; K3     ;  0.910 ;   ; 4840 ; < ;   7.0 ;   ;   ; -4.63 ; -4.61 ; 29.4 ; 22.9 ;   ;   ; 12.5 ;   ;   ; a      ;   ;  1.77 ; 
k111 ; 2741 ;        ;  0.972 ;   ; 4680 ;   ;  11.0 ;   ;   ;       ;       ;      ; 24.9 ;   ;   ;  9.1 ;   ;   ; Bu     ;   ;  1.35 ; 
k112 ; 2870 ;        ;  0.974 ;   ; 4680 ; < ;   7.0 ;   ;   ; -4.48 ; -4.70 ; 32.6 ; 24.4 ;   ;   ;  6.9 ;   ;   ; a      ;   ;  1.19 ; 
k116 ; 3163 ;        ;  0.963 ;   ; 4700 ;   ;  60.0 ;   ;   ;       ;       ;      ; 24.4 ;   ;   ; 22.2 ;   ;   ; Bu     ;   ;  2.14 ; 
k121 ; P41  ;        ;  0.900 ;   ; 4860 ; < ;  10.0 ;   ;   ; -4.38 ;       ;      ; 20.8 ;   ;   ; 19.9 ;   ;   ; c      ;   ;  2.22 ; 
k122 ; P43  ;        ;  0.920 ;   ; 4820 ; < ;  10.0 ;   ;   ; -3.93 ;       ;      ; 22.0 ;   ;   ; 22.5 ;   ;   ; c      ;   ;  2.33 ; 
k201 ;   97 ; K3V    ;  1.043 ;   ; 4500 ;   ;   7.5 ;   ;   ; -4.10 ; -4.42 ; 49.3 ; 29.8 ;   ;   ;  7.9 ;   ;   ; b      ;   ;  1.02 ; 
k205 ;  879 ;        ;  1.032 ;   ; 4520 ; < ;   7.0 ;   ;   ; -4.42 ; -4.52 ; 36.1 ; 27.7 ;   ;   ; 15.2 ;   ;   ; b      ;   ;  1.49 ; 
k206 ;  882 ; K3V    ;  1.040 ;   ; 4500 ;   ;  65.0 ;   ;   ; -3.91 ; -4.24 ; 42.0 ; 26.9 ;   ;   ; 21.2 ;   ;   ; c      ;   ;  1.79 ; 
k207 ;  883 ;        ;  1.086 ;   ; 4400 ; < ;   7.0 ;   ;   ; -4.30 ; -4.50 ; 39.5 ; 29.6 ;   ;   ;  4.5 ;   ;   ; b      ;   ;  0.59 ; 
k208 ; 1100 ; K3V    ;  1.088 ;   ; 4400 ; < ;  10.0 ;   ;   ; -3.97 ; -4.50 ;      ; 28.6 ; * ;   ; 15.3 ;   ; * ; c      ;   ;  1.33 ; 
k209 ; 1454 ; K3V    ;  1.068 ;   ; 4440 ; < ;  10.0 ;   ;   ;       ;       ;      ; 26.2 ;   ;   ;  8.6 ;   ;   ; Bu     ;   ;  0.99 ; 
k210 ; 1553 ; K2.5V  ;  1.078 ;   ; 4420 ;   ;  12.0 ;   ;   ; -3.72 ;       ; 59.1 ; 29.0 ;   ;   ; 30.4 ;   ;   ; b      ;   ;  2.31 ; 
k211 ; 1883 ; K2V    ;  1.019 ;   ; 4560 ;   ; 140.0 ;   ;   ; -3.86 ; -4.03 ;      ; 20.7 ;   ;   ; 28.2 ;   ;   ; Bu,c   ;   ;  2.35 ; 
k212 ; 2281 ;        ;  1.030 ; : ; 4500 ;   ;   9.0 ;   ;   ; -4.25 ; -4.28 ; 31.4 ; 22.8 ;   ;   ; 18.4 ;   ;   ; b      ;   ;  1.63 ; 
k213 ; 3197 ; K3V    ;  1.068 ;   ; 4440 ;   ;  33.0 ;   ;   ; -3.50 ;       ;      ; 31.7 ;   ;   ; 30.2 ;   ;   ; b      ;   ;  2.32 ; 
k302 ;  380 ; K4Ve   ;  1.171 ;   ; 4240 ; < ;   7.0 ;   ;   ; -4.17 ; -4.39 ; 45.5 ; 31.8 ;   ;   ; 19.1 ;   ;   ; b      ;   ;  1.33 ; 
k305 ; 1110 ; K6.5Ve ;  1.170 ;   ; 4240 ; < ;   7.0 ;   ;   ; -4.24 ; -4.53 ; 46.2 ; 34.1 ;   ;   ;  2.1 ;   ;   ; b      ;   ;  0.02 ; 
k306 ; 1305 ;        ;  1.151 ;   ; 4260 ;   ;  84.0 ;   ;   ; -3.65 ;       ;      ; 35.0 ;   ; < ;  3.0 ;   ;   ; Bu     ; < ;  0.20 ; 
k308 ; 1531 ; K7-M0  ;  1.180 ;   ; 4220 ;   ;  50.0 ;   ;   ; -3.81 ; -4.02 ;      ; 35.0 ;   ;   ; 10.0 ; : ;   ; c      ;   ;  0.79 ; 
k309 ; 1653 ; K4.5Ve ;  1.182 ;   ; 4220 ;   ;  21.0 ;   ;   ; -3.78 ;       ;      ; 31.3 ;   ;   ; 10.8 ;   ;   ; d      ;   ;  0.84 ; 
k310 ; 2016 ; K4Ve   ;  1.181 ;   ; 4220 ;   ;  11.0 ;   ;   ; -3.90 ; -4.37 ; 56.3 ; 40.2 ;   ;   ; 14.8 ;   ;   ; b      ;   ;  1.07 ; 
k311 ; 2588 ; K3V    ;  1.133 ;   ; 4300 ; < ;   7.0 ;   ;   ; -4.03 ; -4.36 ; 45.9 ; 34.4 ;   ;   ;  7.8 ;   ;   ; b      ;   ;  0.74 ; 
k312 ; 3019 ;        ;  1.174 ;   ; 4220 ; < ;  10.0 ;   ;   ;       ;       ;      ; 30.7 ;   ;   ;  5.1 ;   ;   ; Bu     ;   ;  0.41 ; 
k313 ; 3063 ;        ;  1.135 ;   ; 4300 ;   ;  26.0 ;   ;   ; -3.68 ; -4.23 ; 68.4 ; 40.4 ;   ;   ; 13.9 ;   ;   ; c      ;   ;  1.12 ; 
k314 ; 3187 ; K4.5Ve ;  1.139 ;   ; 4300 ; < ;   7.0 ;   ;   ; -4.24 ; -4.54 ; 42.3 ; 32.4 ;   ;   ;  7.1 ;   ;   ; b      ;   ;  0.68 ; 
k406 ; 1306 ; dK5e   ;  1.290 ;   ; 4040 ;   ;  15.0 ;   ;   ; -3.60 ; -4.25 ; 83.4 ; 39.4 ;   ;   ;  6.4 ;   ;   ; c      ;   ;  0.35 ; 
k539 ; P112 ;        ;  1.350 ;   ; 4000 ; < ;  10.0 ;   ;   ; -3.89 ;       ;      ; 36.0 ;   ; < ;  7.0 ;   ;   ; d      ; < ;  0.40 ; 
k540 ; P192 ;        ;  1.340 ;   ; 4000 ;   ;  10.0 ;   ;   ; -3.95 ;       ;      ; 42.9 ;   ; < ;  8.0 ;   ;   ; d      ; < ;  0.40 ; 

