#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-03-07T22:19:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c8198631d1d2	
#INFO	-out.max=99999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=99999
#-order=I
#-out.src=J/A+A/590/A78/table1
#-nav=cat:J/A+A/590/A78&tab:{J/A+A/590/A78/table1}&key:source=J/A+A/590/A78/table1&HTTPPRM:&&-ref=VIZ5c8198631d1d2&-out.max=99999&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CSI&-out=GES&-out=RAJ2000&-out=DEJ2000&-out=Teff&-out=e_Teff&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Per&-out=r_Per&-out=RV&-out=e_RV&-out=Vsini&-out=e_Vsini&-out=Note&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/590/A78/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/590/A78/table1
#-out=CSI
#-out=GES
#-out=RAJ2000
#-out=DEJ2000
#-out=Teff
#-out=e_Teff
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Per
#-out=r_Per
#-out=RV
#-out=e_RV
#-out=Vsini
#-out=e_Vsini
#-out=Note
#-out=Simbad
#

#RESOURCE=yCat_35900078
#Name: J/A+A/590/A78
#Title: NGC2264 weak-line T Tauri lithium abundances (Bouvier+, 2016)
#Table	J_A_A_590_A78_table1:
#Name: J/A+A/590/A78/table1
#Title: Lithium and rotation measurements
#Column	CSI	(A13)	CSI designation (CSIMon-NNNNNN)	[ucd=meta.id;meta.main]
#Column	GES	(A16)	GES designation (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	Error on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	EWLi	(F5.1)	Lithium equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F4.1)	Error on EW(Li)	[ucd=stat.error]
#Column	f_EWLi	(I1)	[1/3] Flag on EW(Li) (1)	[ucd=meta.code]
#Column	Per	(F5.2)	Rotational period	[ucd=time.period]
#Column	r_Per	(A4)	Period reference (2)	[ucd=meta.ref;pos.frame]
#Column	RV	(F4.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? Error on RV	[ucd=stat.error]
#Column	Vsini	(F5.1)	? Projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	e_Vsini	(F4.1)	? Error on vsini	[ucd=stat.error;phys.veloc.rotat]
#Column	Note	(I1)	[1/3]? Notes (3) [NULL integer written as an empty string]	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
CSI;GES;RAJ2000;DEJ2000;Teff;e_Teff;EWLi;e_EWLi;f_EWLi;Per;r_Per;RV;e_RV;Vsini;e_Vsini;Note;Simbad
CSIMon-000842;06405810+0951135;100.24207;+09.85378;3746; 90;652.6;17.1;1;11.09;V+16;19.0; 1.9; 10.0; 1.6; ;Simbad
CSIMon-000872;06404610+0947502;100.19208;+09.79727;3665; 29;644.6;28.2;1; 5.93;V+16;21.2; 1.6; 15.0; 0.5; ;Simbad
CSIMon-000881;06410891+0941147;100.28717;+09.68744;4666;142;484.9; 4.5;1; 3.92;V+16;20.7; 0.9; 22.3; 1.7; ;Simbad
CSIMon-000886;06404505+0945418;100.18767;+09.76161;4888;167;591.0; 4.0;1; 4.61;V+16;24.1; 1.3; 21.0; 0.5; ;Simbad
CSIMon-000890;06405518+0950498;100.22993;+09.84717;4986;190;515.6; 4.1;1; 1.16;V+16;14.8; 2.1; 44.1; 1.5; ;Simbad
CSIMon-000894;06411542+0946396;100.31425;+09.77769;5232; 81;397.0;25.5;1; 1.46;V+16;19.6; 3.2; 60.0; 3.0; ;Simbad
CSIMon-000901;06404335+0950595;100.18062;+09.84986;4532; 28;524.3; 5.6;1; 9.03;V+16;21.2; 1.0; 14.1; 1.6; ;Simbad
CSIMon-000910;06404792+0933031;100.19968;+09.55085;3806;147;503.6; 6.3;1; 2.58;V+16;16.9; 2.1; 22.2; 1.7; ;Simbad
CSIMon-000924;06405684+0951566;100.23683;+09.86574;3603; 55;642.8;13.2;1; 5.15;L+04;20.5; 1.9; 12.0; 0.5; ;Simbad
CSIMon-000932;06404485+0957442;100.18688;+09.96229;4537;175;553.3;14.7;1;15.37;V+16;33.3; 1.0; 13.0; 1.6; ;Simbad
CSIMon-000933;06410554+0931405;100.27312;+09.52795;3490;187;555.2;28.8;1; 1.90;A+13;16.6;10.1; 87.3;16.1; ;Simbad
CSIMon-000941;06412874+0927108;100.36975;+09.45300;3522;198;586.2;10.7;1; 1.31;V+16;18.1; 1.4; 51.9; 4.8; ;Simbad
CSIMon-000948;06412715+0935061;100.36314;+09.58505;4865;312;465.8; 2.2;1; 1.55;V+16;18.3; 2.2; 66.0; 0.5; ;Simbad
CSIMon-000954;06410734+0925549;100.28063;+09.43195;4314;242;539.2;10.9;1; 7.35;V+16;20.3; 0.9; 12.9; 1.5; ;Simbad
CSIMon-000967;06411362+0913534;100.30676;+09.23150;4447;421;539.7;11.6;1; 3.35;V+16;18.7; 1.3; 18.0; 0.5; ;Simbad
CSIMon-000977;06405910+0916593;100.24625;+09.28316;3234; 52;619.8;49.7;1; 0.72;V+16;13.8; 6.6; 87.0; 5.5; ;Simbad
CSIMon-000986;06401978+0931492;100.08238;+09.53031;3343; 15;625.8;20.9;1; 4.77;L+04;18.3; 0.7;     ;    ; ;Simbad
CSIMon-000989;06400851+0944135;100.03549;+09.73708;3897;  4;610.6; 7.9;1; 0.96;V+16;22.7; 5.2;     ;    ; ;Simbad
CSIMon-000991;06401931+0948300;100.08045;+09.80831;4121; 81;599.2;18.6;1; 1.03;V+16;20.6; 2.1; 69.8; 6.4; ;Simbad
CSIMon-000995;06402569+0958356;100.10706;+09.97656;5089;137;339.4; 5.2;1; 9.28;V+16;20.7; 0.6; 12.0; 0.5; ;Simbad
CSIMon-001000;06401168+0945559;100.04868;+09.76551;4111;534;617.4;25.8;1; 1.43;V+16;29.8; 5.2; 42.0; 2.5; ;Simbad
CSIMon-001002;06402626+0938014;100.10940;+09.63374;4182;345;589.0;17.1;1; 6.30;V+16; 8.2; 1.0; 28.0; 1.6; ;Simbad
CSIMon-001005;06400522+0950566;100.02175;+09.84904;3568;112;683.5;21.4;1; 1.77;V+16;16.8; 3.7; 36.0; 0.5; ;Simbad
CSIMon-001012;06403332+0958529;100.13884;+09.98139;4195;369;565.3; 5.0;1; 4.47;V+16;20.9; 1.3; 12.0; 0.5; ;Simbad
CSIMon-001013;06404044+0951025;100.16849;+09.85071;3899;152;563.8;15.4;1; 8.11;L+04;21.2; 1.4; 11.5; 2.0; ;Simbad
CSIMon-001015;06393932+0955596;099.91381;+09.93322;4238;330;546.3; 9.1;1; 4.25;V+16;14.5; 2.3; 43.5; 2.6;3;Simbad
CSIMon-001016;06402103+0936319;100.08762;+09.60887;5081;241;308.4;10.2;1; 1.48;V+16;24.0; 1.5; 51.0; 0.5; ;Simbad
CSIMon-001021;06402808+0935338;100.11699;+09.59271;3598; 72;570.7;11.5;1;12.09;L+04;19.6; 0.7; 12.0; 0.5; ;Simbad
CSIMon-001023;06401030+0938550;100.04292;+09.64865;4974;193;424.9;23.8;1; 3.83;V+16;19.3; 1.0; 25.5; 1.7; ;Simbad
CSIMon-001029;06395985+0933417;099.99938;+09.56157;4439;439;512.3;12.4;1; 2.58;A+13;17.1; 1.8; 24.0; 0.5; ;Simbad
CSIMon-001056;06400630+0935565;100.02628;+09.59905;3784; 69;585.5;17.4;1; 1.52;V+16;17.4; 1.9; 16.1; 1.6; ;Simbad
CSIMon-001067;06401092+0954260;100.04550;+09.90724;3252; 61;714.1;26.5;1; 1.15;V+16;17.4; 6.1; 58.0; 1.8; ;Simbad
CSIMon-001074;06400843+0959260;100.03512;+09.99052;3522; 51;570.1;29.5;1; 3.33;V+16;13.8; 2.7; 15.0; 0.5; ;Simbad
CSIMon-001082;06400112+0935335;100.00469;+09.59265;3612;118;670.4;19.3;1; 9.19;V+16;17.3; 1.8; 11.4; 1.6; ;Simbad
CSIMon-001085;06403280+0951293;100.13666;+09.85815;4769;256;572.0; 1.0;1; 3.45;V+16;21.6; 1.4; 30.0; 0.5; ;Simbad
CSIMon-001087;06400121+0942364;100.00504;+09.71013;3605; 40;643.1;11.6;1; 3.93;V+16;14.8; 2.8; 12.0; 0.5; ;Simbad
CSIMon-001092;06403870+0936569;100.16117;+09.61583;3625;  9;628.7; 8.9;1; 1.32;V+16;18.7; 2.2; 48.0; 2.5; ;Simbad
CSIMon-001115;06400215+0945143;100.00896;+09.75398;4833;138; 75.1; 5.3;1; 1.35;V+16;18.3; 1.0; 30.0; 0.5;2;Simbad
CSIMon-001133;06395957+0956243;099.99823;+09.94009;4460;336;529.0;16.6;1; 1.25;V+16;24.6; 3.0; 43.9; 1.6; ;Simbad
CSIMon-001158;06392625+0941108;099.85939;+09.68632;4907;172;501.8;10.9;1; 5.55;V+16;15.8; 1.4; 16.4; 1.7; ;Simbad
CSIMon-001159;06401530+0945578;100.06374;+09.76602;3473; 15;588.6;12.6;1; 3.47;L+04;16.4; 0.7; 13.2; 1.6; ;Simbad
CSIMon-001172;06400637+0939335;100.02659;+09.65933;4417;288;525.9; 3.2;1; 6.49;V+16;15.7; 0.7; 12.0; 0.5; ;Simbad
CSIMon-001181;06401801+0950220;100.07509;+09.83946;3471; 61;621.9;16.1;1; 6.10;V+16;17.4; 0.7; 11.7; 2.0; ;Simbad
CSIMon-001189;06403902+0935599;100.16258;+09.60000;4198;356;548.5; 8.8;1; 4.58;V+16;19.3; 1.1; 15.0; 0.5; ;Simbad
CSIMon-001200;06401244+0944231;100.05185;+09.73974;3962;218;570.6;14.8;1; 2.69;V+16;19.3; 1.2; 22.1; 1.7; ;Simbad
CSIMon-001201;06403663+0948229;100.15262;+09.80638;4954;206;459.7; 7.1;1;16.43;V+16;20.3; 0.5; 12.0; 0.5; ;Simbad
CSIMon-001204;06394960+0933221;099.95665;+09.55616;4589;253;455.4; 8.2;1; 6.55;V+16;15.6; 0.9; 12.8; 1.5; ;Simbad
CSIMon-001205;06402881+0948240;100.12008;+09.80674;4444;267;520.6; 8.2;1; 6.86;V+16;20.0; 0.8; 10.1; 1.6; ;Simbad
CSIMon-001218;06402858+0935476;100.11910;+09.59657;3966;170;614.5; 6.2;1; 4.59;V+16;17.9; 1.1; 15.8; 1.5; ;Simbad
CSIMon-001236;06402222+0954285;100.09257;+09.90800;3958;207;628.5;13.5;1; 7.20;V+16;24.8; 2.4; 29.9; 2.3;3;Simbad
CSIMon-001247;06402895+0942171;100.12060;+09.70475;4421;276;525.0; 6.3;1; 7.34;V+16;20.9; 0.7; 15.0; 0.5; ;Simbad
CSIMon-001248;06394672+0940539;099.94468;+09.68170;5164; 84;364.3; 3.2;1; 3.84;V+16;18.8; 0.9; 27.0; 0.5; ;Simbad
CSIMon-001256;06394157+0934405;099.92322;+09.57792;5782; 56;255.0; 2.3;1; 3.65;V+16;15.8; 1.2; 24.0; 0.5; ;Simbad
CSIMon-001264;06403062+0946106;100.12756;+09.76962;4613;283;458.0; 4.4;1; 7.17;V+16;19.7; 0.2; 13.8; 1.7; ;Simbad
CSIMon-001265;06401089+0940073;100.04536;+09.66870;3564; 60;609.3;25.8;1;12.26;V+16;17.3; 1.7; 12.9; 4.5; ;Simbad
CSIMon-001274;06404142+0948096;100.17260;+09.80267;4443;258;540.6; 2.2;1; 4.71;V+16;20.9; 0.9; 18.7; 1.5; ;Simbad
CSIMon-001276;06400405+0943047;100.01687;+09.71799;3516; 35;741.6;17.1;1; 3.73;L+04;21.8; 1.3;     ;    ; ;Simbad
CSIMon-001278;06404180+0949523;100.17414;+09.83119;4867;140;536.5;15.4;1; 1.05;V+16;27.9; 2.1; 55.2; 1.7; ;Simbad
CSIMon-001279;06403123+0931071;100.13017;+09.51863;4883;191;524.5;10.9;1; 1.98;V+16;20.0; 2.0; 30.9; 1.5; ;Simbad
CSIMon-001282;06400268+0918198;100.01117;+09.30550;5872; 98;108.7; 4.5;1; 9.83;A+13;10.6; 0.7; 18.7; 1.5;1;Simbad
CSIMon-001290;06393037+0933374;099.87659;+09.56039;4967;193;530.4; 7.5;1; 2.25;V+16;20.2; 1.9; 30.0; 0.5; ;Simbad
CSIMon-001292;06394771+0926067;099.94881;+09.43522;6441;  6;  2.5; 0.0;3; 1.02;V+16;28.3; 1.9;112.6;29.2;1;Simbad
CSIMon-001298;06401404+0920285;100.05849;+09.34126;5176;107;306.5; 9.9;1; 1.29;V+16;17.4; 1.3; 76.0; 2.3; ;Simbad
CSIMon-001303;06400402+0927071;100.01677;+09.45197;3881;  5;660.0;14.3;1; 0.82;V+16;15.0; 3.9;     ;    ; ;Simbad
CSIMon-001305;06400890+0926091;100.03706;+09.43587;3603; 46;589.7;17.1;1; 5.43;L+04;16.7; 1.0; 12.0; 0.5; ;Simbad
CSIMon-001313;06403633+0918576;100.15138;+09.31599;4782;236;571.3;21.7;1; 1.16;V+16;17.0; 3.0; 55.3; 1.8; ;Simbad
CSIMon-001314;06400681+0924381;100.02837;+09.41057;3734; 51;583.9; 8.4;1; 7.22;L+04;15.8; 1.9;  9.9; 1.5; ;Simbad
CSIMon-001359;06410629+0929310;100.27633;+09.49191;3694; 20;654.9; 6.7;1; 3.18;V+16;19.5; 1.4; 22.2; 1.6; ;Simbad
CSIMon-001397;06401105+0938406;100.04604;+09.64467;3901;148;530.9; 8.0;1;10.48;L+04;15.7; 1.5;  9.8; 3.1; ;Simbad
CSIMon-001579;06403511+1004218;100.14632;+10.07271;4858;156;572.6;16.0;1; 1.34;V+16;28.8; 4.7; 65.7; 2.0; ;Simbad
