#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T14:02:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0b8d99052c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ic2602}&key:source=J/A+A/612/A99/ic2391&HTTPPRM:&&-ref=VIZ5d0b8d99052c&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ic2391&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+A/612/A99/ic2602
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#-out.src=J/A+A/612/A99/ic2391
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ic2602:
#Name: J/A+A/612/A99/ic2602
#Title: Parameters for IC2602
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
158.9639583;-63.5554444;10355135-6333196; IC2602;GIRAFFE; 4862; 144;   2.990;        ;  -0.167;   0.137;<;  39.400;        ;   3;   1.018;   0.004;  38.003;   0.242;      ;      ; 427;158.96396;-63.55544
158.9641667;-64.0180833;10355140-6401051; IC2602;GIRAFFE; 5141;    ;   2.567;        ;   0.083;        ; ;  42.100;        ;   0;   1.023;   0.006;  10.485;   0.249;      ;      ; 428;158.96417;-64.01808
158.9705833;-64.1340833;10355294-6408027; IC2602;GIRAFFE; 4913; 208;   3.170;        ;  -0.019;   0.073; ;  73.950;   1.950;   0;   1.026;   0.003;   8.132;   0.241;      ;      ; 429;158.97058;-64.13408
158.9744583;-64.0606944;10355387-6403385; IC2602;GIRAFFE; 4768; 178;   2.550;   0.182;   0.008;   0.078;<;  34.700;        ;   3;   1.021;   0.005;   2.516;   0.245;      ;      ; 430;158.97446;-64.06069
158.9945833;-63.5885833;10355870-6335189; IC2602;GIRAFFE; 4531; 159;   2.720;        ;   0.133;   0.010; ; 118.400;        ;   0;   1.033;   0.003; -28.252;   0.241;      ;      ; 431;158.99458;-63.58858
159.0001250;-63.6718611;10360003-6340187; IC2602;GIRAFFE; 4643;   5;   2.346;   0.133;  -0.054;   0.023;<;   4.700;        ;   3;   1.036;   0.002;   1.700;   0.240;      ;      ; 432;159.00012;-63.67186
159.0013750;-63.6231111;10360033-6337232; IC2602;GIRAFFE; 4616; 153;   2.750;        ;   0.027;   0.096;<;  51.200;        ;   3;   1.013;   0.003;  20.178;   0.240;      ;      ; 433;159.00137;-63.62311
159.0377917;-64.1194722;10360907-6407101; IC2602;GIRAFFE; 4711;  38;   2.519;   0.149;  -0.072;   0.047; ;  76.767;   6.424;   0;   1.021;   0.002;  -2.315;   0.240;      ;      ; 434;159.03779;-64.11947
159.0409167;-63.6264722;10360982-6337353; IC2602;GIRAFFE; 4651;  16;   2.369;   0.074;  -0.033;   0.037;<;  31.500;        ;   3;   1.028;   0.003; -12.886;   0.240;      ;      ; 435;159.04092;-63.62647
159.0462917;-64.1660000;10361111-6409576; IC2602;GIRAFFE; 4982;  47;   2.785;   0.110;  -0.046;   0.020; ;  34.800;        ;   0;   1.020;   0.003; -16.194;   0.241;      ;      ; 436;159.04629;-64.16600
159.0512500;-64.2765000;10361230-6416354; IC2602;GIRAFFE; 4630;    ;   4.142;        ;   0.361;        ;<;  57.000;        ;   3;   1.020;   0.004;  10.973;   0.241;      ;      ; 437;159.05125;-64.27650
159.0760417;-64.2490000;10361825-6414564; IC2602;GIRAFFE; 3706;  17;   4.660;        ;  -0.190;        ; ; 110.900;        ;   0;   0.828;   0.003;  18.400;   0.240; 0.951;      ; 438;159.07604;-64.24900
159.0827917;-63.4805556;10361987-6328500; IC2602;GIRAFFE; 4748;  83;   2.594;   0.110;  -0.003;   0.019;<;  32.000;        ;   3;   1.015;   0.003;   3.670;   0.241;      ;      ; 439;159.08279;-63.48056
159.0951250;-63.7371389;10362283-6344137; IC2602;GIRAFFE; 4660;  12;   2.382;   0.091;  -0.052;   0.011;<;  42.900;        ;   3;   1.030;   0.002;  -4.373;   0.240;      ;      ; 440;159.09512;-63.73714
159.1147083;-63.4937222;10362753-6329374; IC2602;GIRAFFE; 5096;  62;   3.370;        ;  -0.070;   0.060;<;  12.600;        ;   3;   1.016;   0.003; -39.586;   0.241;      ;      ; 441;159.11471;-63.49372
159.1285417;-63.5542222;10363085-6333152; IC2602;GIRAFFE; 4545; 107;   2.274;   0.169;  -0.003;   0.037;<;  41.600;        ;   3;   1.029;   0.004;  52.812;   0.241;      ;      ; 442;159.12854;-63.55422
159.1367500;-64.0987778;10363282-6405556; IC2602;GIRAFFE; 4830;  99;   2.860;        ;  -0.073;   0.129;<;  13.100;        ;   3;   1.020;   0.004;   6.322;   0.242;      ;      ; 443;159.13675;-64.09878
159.1472500;-64.1511667;10363534-6409042; IC2602;GIRAFFE; 5006; 181;   3.430;        ;  -0.243;   0.281;<;  15.300;        ;   3;   1.010;   0.005;  27.419;   0.248;      ;      ; 444;159.14725;-64.15117
159.1481250;-63.5027500;10363555-6330099; IC2602;GIRAFFE; 5230; 121;   3.310;        ;   0.029;   0.078;<;  25.000;        ;   3;   1.032;   0.002;  -3.035;   0.240;      ;      ; 445;159.14812;-63.50275
159.1507083;-63.6720833;10363617-6340195; IC2602;GIRAFFE; 4501; 198;   2.670;        ;   0.080;   0.107;<;  67.500;        ;   3;   1.019;   0.003;  43.047;   0.241;      ;      ; 446;159.15071;-63.67208
159.1529167;-63.4705556;10363670-6328140; IC2602;GIRAFFE; 5049; 130;   3.330;        ;  -0.114;   0.130;<;  18.700;        ;   3;   1.018;   0.002; -22.326;   0.241;      ;      ; 447;159.15292;-63.47056
159.1668750;-63.6976667;10364005-6341516; IC2602;GIRAFFE; 4803;   1;   2.642;   0.026;   0.041;   0.043;<;  31.200;        ;   3;   1.016;   0.002;   9.731;   0.240;      ;      ; 448;159.16687;-63.69767
159.1739167;-63.7596944;10364174-6345349; IC2602;GIRAFFE; 4471; 216;   2.660;        ;   0.155;   0.022;<;  58.100;        ;   3;   1.019;   0.003;  21.925;   0.240;      ;      ; 449;159.17392;-63.75969
159.1759583;-63.4566389;10364223-6327239; IC2602;GIRAFFE; 4547;    ;   2.165;        ;  -0.074;        ;<;  31.700;        ;   3;   1.036;   0.006;  34.961;   0.244;      ;      ; 450;159.17596;-63.45664
159.1877083;-63.6744722;10364505-6340281; IC2602;GIRAFFE; 4560; 135;   2.770;        ;   0.048;   0.094;<;  51.700;        ;   3;   1.024;   0.002;   2.878;   0.240;      ;      ; 451;159.18771;-63.67447
159.1994167;-63.5135833;10364786-6330489; IC2602;GIRAFFE; 4954;  66;   3.019;   0.099;   0.006;   0.035;<;  40.300;        ;   3;   1.009;   0.003;  10.558;   0.241;      ;      ; 452;159.19942;-63.51358
159.2107083;-63.5931111;10365057-6335352; IC2602;GIRAFFE; 4617;  62;   2.508;   0.063;   0.016;   0.066;<;  48.800;        ;   3;   1.010;   0.002;  17.408;   0.240;      ;      ; 453;159.21071;-63.59311
159.2368750;-63.6199722;10365685-6337119; IC2602;GIRAFFE; 4681;  74;   2.720;        ;  -0.086;   0.068;<;  24.300;        ;   3;   1.026;   0.002;  -8.878;   0.241;      ;      ; 454;159.23687;-63.61997
159.2432083;-63.4608056;10365837-6327389; IC2602;GIRAFFE; 4734;  15;   2.540;   0.028;  -0.003;   0.023;<;  24.500;        ;   3;   1.017;   0.004; -11.691;   0.242;      ;      ; 455;159.24321;-63.46081
159.2841667;-63.4660278;10370820-6327577; IC2602;GIRAFFE; 5137;  17;   3.240;        ;  -0.029;   0.043;<;  17.500;        ;   3;   1.016;   0.002; -15.109;   0.240;      ;      ; 456;159.28417;-63.46603
159.3022083;-63.6372222;10371253-6338140; IC2602;GIRAFFE; 4987;  96;   3.080;        ;  -0.051;   0.092;<;  24.900;        ;   3;   1.023;   0.002; -28.343;   0.241;      ;      ; 457;159.30221;-63.63722
159.3042500;-63.6902500;10371302-6341249; IC2602;GIRAFFE; 5090;  38;   3.350;        ;  -0.007;   0.039;<;  18.000;        ;   3;   1.014;   0.003;   5.227;   0.241;      ;      ; 458;159.30425;-63.69025
159.3220833;-63.6803333;10371730-6340492; IC2602;GIRAFFE; 5029;    ;   4.230;        ;   0.560;        ;<;  34.300;        ;   3;   1.017;   0.007;   7.660;   0.257;      ;      ; 459;159.32208;-63.68033
159.3454167;-63.4501944;10372290-6327007; IC2602;GIRAFFE; 4494; 174;   2.600;        ;   0.107;   0.080;<;  54.500;        ;   3;   1.026;   0.003;  44.836;   0.240;      ;      ; 460;159.34542;-63.45019
159.3490000;-63.5109167;10372376-6330393; IC2602;GIRAFFE; 5182;  62;   3.320;        ;  -0.018;   0.002;<;  15.100;        ;   3;   1.016;   0.002;  -6.715;   0.241;      ;      ; 461;159.34900;-63.51092
159.3520417;-63.6926389;10372449-6341335; IC2602;GIRAFFE; 4873; 110;   3.050;        ;  -0.041;   0.109; ;  59.767;   5.892;   0;   1.019;   0.001;   5.732;   0.240;      ;      ; 462;159.35204;-63.69264
159.3676667;-63.4468889;10372824-6326488; IC2602;GIRAFFE; 4497; 191;   2.710;        ;   0.090;   0.044;<;  58.100;        ;   3;   1.024;   0.004; -20.301;   0.241;      ;      ; 463;159.36767;-63.44689
159.3764583;-63.8208889;10373035-6349152; IC2602;GIRAFFE; 4607; 132;   2.760;        ;   0.064;   0.052;<;  54.400;        ;   3;   1.019;   0.002;  36.882;   0.240;      ;      ; 464;159.37646;-63.82089
159.4149167;-63.7160000;10373958-6342576; IC2602;GIRAFFE; 4577; 106;   2.254;   0.124;  -0.077;   0.055;<;  20.800;        ;   3;   1.020;   0.004;  28.664;   0.242;      ;      ; 465;159.41492;-63.71600
159.4174583;-63.7420000;10374019-6344312; IC2602;GIRAFFE; 5525;  34;   4.060;        ;  -0.012;   0.127;<;  13.600;        ;   3;   1.003;   0.001;  22.219;   0.240;      ;      ; 466;159.41746;-63.74200
159.4180417;-64.0116389;10374033-6400419; IC2602;GIRAFFE; 4741;  14;   2.612;   0.176;  -0.048;   0.088;<;  24.900;        ;   3;   1.021;   0.003;  14.410;   0.241;      ;      ; 467;159.41804;-64.01164
159.4203750;-63.6680000;10374089-6340048; IC2602;GIRAFFE; 4509; 137;   2.570;        ;  -0.032;   0.017;<;  36.500;        ;   3;   1.031;   0.002;   7.800;   0.240;      ;      ; 468;159.42037;-63.66800
159.4212917;-63.7510000;10374111-6345036; IC2602;GIRAFFE; 4567; 132;   2.620;        ;  -0.080;   0.075;<;  33.800;        ;   3;   1.030;   0.001;   1.643;   0.240;      ;      ; 469;159.42129;-63.75100
159.4275000;-64.1092500;10374260-6406333; IC2602;GIRAFFE; 5116;  41;   3.512;   0.196;  -0.131;   0.126;<;  27.700;        ;   3;   1.004;   0.001;   5.540;   0.240;      ;      ; 470;159.42750;-64.10925
159.4400833;-63.6526944;10374562-6339097; IC2602;GIRAFFE; 4736;  52;   2.794;   0.146;   0.088;   0.032;<;  50.200;        ;   3;   1.006;   0.002;  41.562;   0.240;      ;      ; 471;159.44008;-63.65269
159.4507083;-64.1218611;10374817-6407187; IC2602;GIRAFFE; 4753; 311;   3.190;        ;  -0.188;   0.211;<;  11.400;        ;   3;   1.023;   0.003;  -6.860;   0.241;      ;      ; 472;159.45071;-64.12186
159.4559167;-64.0140278;10374942-6400505; IC2602;GIRAFFE; 3893; 165;   4.630;        ;  -0.150;        ; ; 136.900;        ;   0;   0.836;   0.004;  17.622;   0.244; 0.955;      ; 473;159.45592;-64.01403
159.4818333;-63.9375833;10375564-6356153; IC2602;GIRAFFE; 4455; 173;   2.580;        ;  -0.009;   0.058;<;  39.100;        ;   3;   1.031;   0.004;  -5.439;   0.242;      ;      ; 474;159.48183;-63.93758
159.4907083;-63.6874444;10375777-6341148; IC2602;GIRAFFE; 4492; 208;   2.710;        ;   0.104;   0.084; ; 190.033;   5.359;   0;   1.023;   0.004;  25.516;   0.240;      ;      ; 475;159.49071;-63.68744
159.4925417;-63.4964167;10375821-6329471; IC2602;GIRAFFE; 4718;  55;   2.518;   0.007;   0.009;   0.066;<;  40.200;        ;   3;   1.024;   0.002; -17.118;   0.240;      ;      ; 476;159.49254;-63.49642
159.4938750;-63.5293056;10375853-6331455; IC2602;GIRAFFE; 4536; 123;   2.202;   0.189;  -0.074;   0.066;<;  36.500;        ;   3;   1.026;   0.003;  28.892;   0.241;      ;      ; 477;159.49387;-63.52931
159.5293333;-64.0643056;10380704-6403515; IC2602;GIRAFFE; 4892; 111;   3.020;        ;  -0.055;   0.169;<;  35.400;        ;   3;   1.018;   0.002;  31.411;   0.240;      ;      ; 478;159.52933;-64.06431
159.5362083;-63.7609167;10380869-6345393; IC2602;GIRAFFE; 4898; 215;   3.120;        ;  -0.046;   0.085; ; 310.400;   1.945;   0;   1.019;   0.002;  -5.901;   0.240;      ;      ; 479;159.53621;-63.76092
159.5490417;-63.7488333;10381177-6344558; IC2602;GIRAFFE; 4918; 173;   3.060;        ;   0.001;   0.042; ;  86.067;  10.911;   0;   1.015;   0.002;   1.875;   0.240;      ;      ; 480;159.54904;-63.74883
159.5507083;-63.5604167;10381217-6333375; IC2602;GIRAFFE; 5013; 100;   3.250;        ;  -0.094;   0.097;<;  35.900;        ;   3;   1.016;   0.002; -15.536;   0.241;      ;      ; 481;159.55071;-63.56042
159.5531667;-64.1040000;10381276-6406144; IC2602;GIRAFFE; 4706;  38;   2.562;   0.098;   0.045;   0.052;<;  42.600;        ;   3;   1.017;   0.002;   0.927;   0.240;      ;      ; 482;159.55317;-64.10400
159.5802083;-63.5978056;10381925-6335521; IC2602;GIRAFFE; 4943; 138;   3.000;        ;  -0.053;   0.080;<;  24.600;        ;   3;   1.024;   0.002; -36.119;   0.241;      ;      ; 483;159.58021;-63.59781
159.5846250;-63.6608611;10382031-6339391; IC2602;GIRAFFE; 4987;  22;   2.819;   0.021;   0.017;   0.004;<;  27.800;        ;   3;   1.017;   0.002; -15.115;   0.240;      ;      ; 484;159.58462;-63.66086
159.5865417;-63.5828056;10382077-6334581; IC2602;GIRAFFE; 4862;  57;   2.709;   0.143;  -0.035;   0.067;<;  33.100;        ;   3;   1.020;   0.002;   1.933;   0.241;      ;      ; 485;159.58654;-63.58281
159.5886250;-63.6471389;10382127-6338497; IC2602;GIRAFFE; 4652;  14;   2.452;   0.061;   0.006;   0.049;<;  33.000;        ;   3;   1.021;   0.003;  -2.503;   0.241;      ;      ; 486;159.58862;-63.64714
159.6062083;-63.5275278;10382549-6331391; IC2602;GIRAFFE; 4573;  91;   2.316;   0.153;   0.010;   0.028;<;  40.800;        ;   3;   1.028;   0.003;  10.992;   0.240;      ;      ; 487;159.60621;-63.52753
159.6097917;-63.6153611;10382635-6336553; IC2602;GIRAFFE; 5045;  12;   2.997;   0.159;  -0.003;   0.004;<;  21.100;        ;   3;   1.021;   0.002; -19.300;   0.240;      ;      ; 488;159.60979;-63.61536
159.6163333;-63.8690278;10382792-6352085; IC2602;GIRAFFE; 4992; 123;   3.150;        ;  -0.027;   0.054;<;  27.300;        ;   3;   1.019;   0.004; -14.324;   0.243;      ;      ; 489;159.61633;-63.86903
159.6169583;-63.7106111;10382807-6342382; IC2602;GIRAFFE; 5153;  14;   3.340;        ;  -0.052;   0.062;<;  21.100;        ;   3;   1.015;   0.002; -12.194;   0.240;      ;      ; 490;159.61696;-63.71061
159.6203750;-63.6155278;10382889-6336559; IC2602;GIRAFFE; 4565;  61;   2.331;   0.188;  -0.040;   0.001;<;  34.500;        ;   3;   1.029;   0.003;  -8.216;   0.240;      ;      ; 491;159.62037;-63.61553
159.6208333;-63.6315833;10382900-6337537; IC2602;GIRAFFE; 4904; 111;   3.084;        ;  -0.068;   0.121;<;  20.900;        ;   3;   1.021;   0.002; -12.671;   0.240;      ;      ; 492;159.62083;-63.63158
159.6232917;-64.1944167;10382959-6411399; IC2602;GIRAFFE; 4719;   9;   2.693;   0.010;   0.055;   0.051;<;  42.400;        ;   3;   1.009;   0.002;  17.554;   0.240;      ;      ; 493;159.62329;-64.19442
159.6447917;-63.9541111;10383475-6357148; IC2602;GIRAFFE; 5266; 148;   3.221;   0.147;   0.049;   0.079; ;  33.800;        ;   0;   1.037;   0.002;  -2.976;   0.240;      ;      ; 494;159.64479;-63.95411
159.6710000;-63.6083611;10384104-6336301; IC2602;GIRAFFE; 4636;   2;   2.406;   0.064;   0.019;   0.040;<;  35.100;        ;   3;   1.026;   0.003;   2.485;   0.241;      ;      ; 495;159.67100;-63.60836
159.6934167;-64.0008611;10384642-6400031; IC2602;GIRAFFE; 4570; 103;   2.465;   0.200;   0.090;   0.074;<;  55.700;        ;   3;   1.017;   0.002;  13.489;   0.240;      ;      ; 496;159.69342;-64.00086
159.6981667;-63.6440278;10384756-6338385; IC2602;GIRAFFE; 4704;  68;   2.492;   0.034;  -0.038;   0.031;<;  25.000;        ;   3;   1.024;   0.003;   8.410;   0.241;      ;      ; 497;159.69817;-63.64403
159.7054167;-64.1740833;10384930-6410267; IC2602;GIRAFFE; 4938; 164;   2.682;        ;  -0.070;   0.124;<;  30.400;        ;   3;   1.023;   0.003; -27.917;   0.241;      ;      ; 498;159.70542;-64.17408
159.7202083;-63.5969444;10385285-6335490; IC2602;GIRAFFE; 5119;  34;   3.026;        ;  -0.077;   0.070;<;  25.600;        ;   3;   1.017;   0.002; -28.234;   0.240;      ;      ; 499;159.72021;-63.59694
159.7249583;-63.9855278;10385399-6359079; IC2602;GIRAFFE; 5293; 158;   2.752;        ;  -0.053;   0.010;<;  22.900;        ;   3;   1.026;   0.002;  -3.383;   0.240;      ;      ; 500;159.72496;-63.98553
159.7343750;-63.7419444;10385625-6344310; IC2602;GIRAFFE; 4746;  11;   2.567;   0.108;  -0.048;   0.011;<;  30.100;        ;   3;   1.023;   0.003; -26.105;   0.241;      ;      ; 501;159.73437;-63.74194
159.7359583;-63.8786667;10385663-6352432; IC2602;GIRAFFE; 4569; 261;   2.620;        ;  -0.034;   0.066;<;  33.000;        ;   3;   1.024;   0.002; -10.019;   0.240;      ;      ; 502;159.73596;-63.87867
159.7400417;-63.6016389;10385761-6336059; IC2602;GIRAFFE; 4827;  14;   2.705;   0.008;   0.050;   0.028;<;  31.900;        ;   3;   1.013;   0.003;   7.313;   0.241;      ;      ; 503;159.74004;-63.60164
159.7444167;-63.6921944;10385866-6341319; IC2602;GIRAFFE; 4734;  15;   2.431;   0.053;  -0.087;   0.070;<;  23.400;        ;   3;   1.023;   0.002; -60.375;   0.240;      ;      ; 504;159.74442;-63.69219
159.7445000;-63.6863056;10385868-6341107; IC2602;GIRAFFE; 4636;    ;   3.169;        ;   0.543;        ;<;  50.400;        ;   3;   1.025;   0.001;  30.389;   0.240;      ;      ; 505;159.74450;-63.68631
159.7679583;-63.5685278;10390431-6334067; IC2602;GIRAFFE; 4999;   7;   2.752;   0.061;   0.039;   0.040; ;  62.700;        ;   0;   1.035;   0.002;  -4.794;   0.241;      ;      ; 506;159.76796;-63.56853
159.7805833;-63.9037778;10390734-6354136; IC2602;GIRAFFE; 4734;  24;   2.518;   0.052;  -0.014;   0.008;<;  39.000;        ;   3;   1.020;   0.003; -16.476;   0.241;      ;      ; 507;159.78058;-63.90378
159.7851667;-63.6672222;10390844-6340020; IC2602;GIRAFFE; 4924; 134;   2.698;        ;  -0.049;   0.089;<;  23.100;        ;   3;   1.018;   0.001;  11.825;   0.240;      ;      ; 508;159.78517;-63.66722
159.7868333;-63.7033056;10390884-6342119; IC2602;GIRAFFE; 4575; 178;   2.270;        ;   0.061;   0.057;<;  39.000;        ;   3;   1.020;   0.004;  35.364;   0.242;      ;      ; 509;159.78683;-63.70331
159.7995000;-64.9346111;10391188-6456046; IC2602;GIRAFFE; 4708;    ;   2.724;        ;  -0.573;        ; ; 532.167;        ;    ;        ;        ;  21.601;   1.172;      ;      ; 510;159.79950;-64.93461
159.8220833;-64.9795556;10391730-6458464; IC2602;GIRAFFE; 5020; 193;   3.665;        ;  -0.098;   0.155;<;  34.200;        ;   3;   1.017;   0.003; -26.613;   0.242;      ;      ; 511;159.82208;-64.97956
159.8328750;-63.9962778;10391989-6359466; IC2602;GIRAFFE; 4587;  81;   2.463;   0.184;   0.074;   0.020;<;  56.000;        ;   3;   1.023;   0.003;  -9.996;   0.240;      ;      ; 512;159.83287;-63.99628
159.8357500;-63.9389444;10392058-6356202; IC2602;GIRAFFE; 4635; 193;   3.025;        ;   0.033;   0.055;<;  46.000;        ;   3;   1.045;   0.003;   7.229;   0.240;      ;      ; 513;159.83575;-63.93894
159.8602500;-63.8640833;10392646-6351507; IC2602;GIRAFFE; 5057; 135;   2.873;        ;  -0.074;   0.098;<;  21.000;        ;   3;   1.018;   0.002; -18.067;   0.240;      ;      ; 514;159.86025;-63.86408
159.8655833;-64.4339722;10392774-6426023; IC2602;GIRAFFE; 4610;  75;   2.368;   0.091;  -0.014;   0.062;<;  42.700;        ;   3;   1.021;   0.004;  -1.683;   0.242;      ;      ; 515;159.86558;-64.43397
159.8854167;-64.4671111;10393250-6428016; IC2602;GIRAFFE; 4718;  84;   2.506;   0.130;  -0.009;   0.013;<;  31.000;        ;   3;   1.023;   0.003;  -5.157;   0.241;      ;      ; 516;159.88542;-64.46711
159.8918750;-64.4527778;10393405-6427100; IC2602;GIRAFFE; 4707;  91;   2.437;   0.162;  -0.056;   0.023; ; 104.800;        ;   0;   1.028;   0.002; -16.234;   0.240;      ;      ; 517;159.89187;-64.45278
159.8939583;-64.5168889;10393455-6431008; IC2602;GIRAFFE; 4538; 101;   2.318;   0.187;  -0.037;   0.005;<;  33.500;        ;   3;   1.022;   0.003;  -0.869;   0.240;      ;      ; 518;159.89396;-64.51689
159.8959167;-64.2301667;10393502-6413486; IC2602;GIRAFFE; 3979;  46;   4.568;   0.002;  -0.102;   0.090;<;  29.200;        ;   3;   0.851;   0.004;  -6.587;   0.244; 0.021;      ; 519;159.89592;-64.23017
159.9005000;-64.2222500;10393612-6413201; IC2602;GIRAFFE; 5045; 119;   2.307;        ;   0.012;   0.012;<;  29.600;        ;   3;   1.014;   0.003;   6.110;   0.241;      ;      ; 520;159.90050;-64.22225
159.9157917;-63.8820833;10393979-6352555; IC2602;GIRAFFE; 5146;  17;   2.934;        ;  -0.070;   0.090;<;  17.100;        ;   3;   1.011;   0.002;   2.880;   0.240;      ;      ; 521;159.91579;-63.88208
159.9166250;-64.0490278;10393999-6402565; IC2602;GIRAFFE; 4544;  35;   2.664;        ;  -0.095;   0.007;<;  31.400;        ;   3;   1.036;   0.003;   2.312;   0.241;      ;      ; 522;159.91662;-64.04903
159.9254167;-64.6863889;10394210-6441110; IC2602;GIRAFFE; 4602;  10;   2.409;   0.093;  -0.014;   0.036;<;  40.400;        ;   3;   1.021;   0.004;  -2.983;   0.242;      ;      ; 523;159.92542;-64.68639
159.9392917;-64.8634722;10394543-6451485; IC2602;GIRAFFE; 4638;  57;   2.363;   0.148;  -0.056;   0.100;<;  32.000;        ;   3;   1.024;   0.002;  33.210;   0.240;      ;      ; 524;159.93929;-64.86347
159.9397917;-64.0074444;10394555-6400268; IC2602;GIRAFFE; 4876; 209;   2.679;        ;  -0.075;   0.133;<;  23.300;        ;   3;   1.014;   0.002;  10.975;   0.241;      ;      ; 525;159.93979;-64.00744
159.9441667;-64.7060278;10394660-6442217; IC2602;GIRAFFE; 4571; 185;   2.443;        ;   0.062;   0.056;<;  38.800;        ;   3;   1.018;   0.002;  30.466;   0.240;      ;      ; 526;159.94417;-64.70603
159.9559167;-64.7402778;10394942-6444250; IC2602;GIRAFFE; 3431;  75;   2.797;        ;  -0.250;        ;<; 100.000;        ;   3;   0.848;   0.006;  17.525;   0.248; 0.954;      ; 527;159.95592;-64.74028
159.9664167;-63.9146944;10395194-6354529; IC2602;GIRAFFE; 5016;  54;   3.099;   0.123;   0.022;   0.041;<;  34.100;        ;   3;   1.010;   0.001;  14.519;   0.240;      ;      ; 528;159.96642;-63.91469
