# Brandt 2014 Table 1   (with B-V from Simbad querry),,,,,,,,,,,,,      typed ident      ,       identifier        ,"       coord1 (ICRS,J2000/2000)        ",  spec. type   ,#not
Name,       identifier        ,Mag B ,Mag V ,  spec. type   ,Moving Group,Prob Member,logR'HK,log RX,Li EW (mA)/,Prot (days),Referencese,Name,-----------------------,-------------------------,---------------------------------------,---------------,----
TYC 5899-26-1,LP 776-25                ,12.76,11.639,M3.3V          ,AB Dor,95+,...,3.1,20,...,D09,TYC 5899-26-1,TYC 5899-26-1          ,LP 776-25                ,04 52 24.4147207305 -16 49 21.927255340,M3.3V          ,0
TYC 8513-952-3,CD-56 1032A              ,12.4,10.804,M3Ve           ,AB Dor,95+,...,2.92,0,1.5,D09; M10,TYC 8513-952-3,TYC 8513-952-3         ,CD-56 1032A              ,04 53 31.2015780907 -55 51 37.104528653,M3Ve           ,0
HIP 23309,CD-57 1054               ,11.36,9.977,M0Ve           ,beta Pic,95+,...,3.42,294,8.6,F08; M10,HIP 23309,HIP 23309              ,CD-57 1054               ,05 00 47.1300124315 -57 15 25.453371912,M0Ve           ,0
HIP 25283,HD 35650                 ,10.365,9.054,K6V            ,AB Dor,95+,-4.32,3.64,15,9.3,D09; M10,HIP 25283,HIP 25283              ,HD 35650                 ,05 24 30.1697133942 -38 58 10.746312369,K6V            ,0
HIP 26373,V* UY Pic                ,8.77,7.676,K0V            ,AB Dor,95+,-4.21,3.17,285,4.5,D09; M10,HIP 26373,HIP 26373              ,V* UY Pic                ,05 36 56.8530716709 -47 57 52.884166166,K0V            ,0
TYC 5361-1476-1,BD-13 1328A              ,11.69,10.61,~              ,AB Dor,90,...,3.5,230,5.6,D09; K12,TYC 5361-1476-1,TYC 5361-1476-1        ,BD-13 1328A              ,06 02 21.893370 -13 55 32.56790        ,~              ,0
TYC 7084-794-1,CD-35 2722               ,12.61,11.083,M1Ve           ,AB Dor,95+,...,3.12,10,1.7,D09; M10,TYC 7084-794-1,TYC 7084-794-1         ,CD-35 2722               ,06 09 19.2082646634 -35 49 31.062882043,M1Ve           ,2
HIP 29964,V* AO Men                ,11.06,9.809,K4Ve           ,beta Pic,95+,-4.16,2.83,357,2.7,F08; M10,HIP 29964,HIP 29964              ,V* AO Men                ,06 18 28.2084971476 -72 02 41.446399943,K4Ve           ,0
HIP 30034,HD 44627                 ,10.01,9.205,K1V(e)         ,Car,95+,...,3.16,320,3.9,D09; M10,HIP 30034,HIP 30034              ,HD 44627                 ,06 19 12.9129838711 -58 03 15.524890610,K1V(e)         ,2
HIP 30314,HD 45270                 ,7.11,6.508,G1V            ,AB Dor,95+,-4.34,4.14,150,0.48,D09; R12,HIP 30314,HIP 30314              ,HD 45270                 ,06 22 30.9412022189 -60 13 07.143258224,G1V            ,0
GSC 08894-00426,GSC 08894-00426          ,13.87,12.319,M5Ve           ,AB Dor,95+,...,2.84,0,1,D09; K12,GSC 08894-00426,GSC 08894-00426        ,GSC 08894-00426          ,06 25 56.0925770647 -60 03 27.038791608,M5Ve           ,0
GJ 9251 A,BD+07 1919A              ,11.02,9.89,K8             ,AB Dor,...,...,<4.07,...,...,...,GJ 9251 A,GJ 9251 A              ,BD+07 1919A              ,08 07 09.0904060940 +07 23 00.216698802,K8             ,0
TWA 6,V* BX Ant                ,13.39,11.454,M0Ve           ,TW Hya,95+,...,2.88,560,0.54,F08; M10,TWA 6,TWA 6                  ,V* BX Ant                ,10 18 28.6989165716 -31 50 02.826261802,M0Ve           ,0
TWA 7,V* CE Ant                ,12.21,10.91,M2Ve           ,TW Hya,95+,...,3.19,530,5,T06; M10,TWA 7,TWA 7                  ,V* CE Ant                ,10 42 30.1021269333 -33 40 16.226774953,M2Ve           ,1
HIP 53911,V* TW Hya                ,11.94,10.5,K6Ve           ,TW Hya,95+,...,2.12,426,2.8,F08; M10,HIP 53911,HIP 53911              ,V* TW Hya                ,11 01 51.9054298616 -34 42 17.031550898,K6Ve           ,1
TWA 14,V* V1215 Cen             ,     ~,12.478,K8IVe          ,TW Hya,95+,...,2.89,600,0.63,F08; M10,TWA 14,TWA 14                 ,V* V1215 Cen             ,11 13 26.2208332352 -45 23 42.719174706,K8IVe          ,0
TWA 13N,CD-34 7390A              ,12.88,11.46,M1Ve           ,TW Hya,95+,...,2.82,570,5.6,F08; M10,TWA 13N,TWA 13N                ,CD-34 7390A              ,11 21 17.2193442623 -34 46 45.500772910,M1Ve           ,0
TWA 8A,CD-26 8623               ,13.69,12.23,M3Ve           ,TW Hya,95+,...,2.92,530,4.7,F08; M10,TWA 8A,TWA 8A                 ,CD-26 8623               ,11 32 41.2659398509 -26 51 55.961617611,M3Ve           ,0
TWA 9B,CD-36 7429B              ,15.43,14,M1V            ,TW Hya,95+,...,2.3,480,4,D09; M10,TWA 9B,TWA 9B                 ,CD-36 7429B              ,11 48 23.7347470027 -37 28 48.519698919,M1V            ,0
HIP 57589,CD-36 7429               ,     ~,     ~,~              ,TW Hya,95+,...,2.88,470,5,F08; M10,HIP 57589,HIP 57589              ,CD-36 7429               ,11 48 24.22320 -37 28 49.1537          ,~              ,0
TWA 25,V* V1249 Cen             ,13.09,11.16,M0.5           ,TW Hya,95+,...,3.05,494,5.1,F08; M10,TWA 25,TWA 25                 ,V* V1249 Cen             ,12 15 30.7203284919 -39 48 42.605543199,M0.5           ,0
TWA 20,TWA 20                   ,14.1,13.24,M3IVe          ,TW Hya,95+,...,3.37,160,0.65,F08; M11,TWA 20,TWA 20                 ,TWA 20                   ,12 31 38.0691558062 -45 58 59.456934871,M3IVe          ,0
TWA 10,V* V1252 Cen             ,14.39,13.045,M2Ve           ,TW Hya,95+,...,3.02,460,8.4,F08; M10,TWA 10,TWA 10                 ,V* V1252 Cen             ,12 35 04.2562814903 -41 36 38.620524379,M2Ve           ,0
TWA 11B,HD 109573B               ,     ~,     ~,M2.5           ,TW Hya,95+,...,3.12,550,...,D09,TWA 11B,TWA 11B                ,HD 109573B               ,12 36 00.5493890939 -39 52 15.696207303,M2.5           ,0
TWA 11A,HD 109573                ,5.786,5.774,A0V            ,TW Hya,95+,...,5.27,550,...,D09,TWA 11A,TWA 11A                ,HD 109573                ,12 36 01.0317721349 -39 52 10.222698506,A0V            ,1
HD 139084B,HD 139084B               ,     ~,14.8,M5Ve           ,beta Pic,95+,...,1.58B,260,4.3,F08; M10,HD 139084B,HD 139084B             ,HD 139084B               ,15 38 56.7796538592 -57 42 18.956312475,M5Ve           ,1
HD 155555C,HD 155555C               ,14.36,12.82,M3Ve           ,beta Pic,95+,...,1.67B,250,1.7,D09; M10,HD 155555C,HD 155555C             ,HD 155555C               ,17 17 31.2880553026 -66 57 05.472249501,M3Ve           ,1
TYC 8728-2262-1,CD-54 7336               ,10.38,9.614,K1V            ,beta Pic,50,...,3.08,360,1.8,D09; M10,TYC 8728-2262-1,TYC 8728-2262-1        ,CD-54 7336               ,17 29 55.0774331895 -54 15 48.647695376,K1V            ,0
HD 164249B,HD 164249B               ,     ~,12.5,M2Ve           ,beta Pic,95+,...,3.01B,92,...,F08,HD 164249B,HD 164249B             ,HD 164249B               ,18 03 04.1014030680 -51 38 56.191888973,M2Ve           ,0
HIP 92024,HD 172555                ,4.967,4.767,A7V            ,beta Pic,95+,...,5.64,490,0.35,T06; M10,HIP 92024,HIP 92024              ,HD 172555                ,18 45 26.9004853 -64 52 16.539796      ,A7V            ,0
TYC 9073-762-1,Smethells 20             ,13.07,11.831,M1Ve           ,beta Pic,80,...,3.21,332,5.4,D09; M10,TYC 9073-762-1,TYC 9073-762-1         ,Smethells 20             ,18 46 52.5519196041 -62 10 36.614339753,M1Ve           ,0
TYC 7408-54-1,CD-31 16041              ,12.25,11.191,K8Ve           ,beta Pic,80,...,3.04,492,1.1,D09; M10,TYC 7408-54-1,TYC 7408-54-1          ,CD-31 16041              ,18 50 44.4829107282 -31 47 47.382754551,K8Ve           ,0
HIP 92680,V* PZ Tel                ,9.22,8.342,G9IV           ,beta Pic,95+,-3.82,3.13,287,1,D09; M10,HIP 92680,HIP 92680              ,V* PZ Tel                ,18 53 05.8733807460 -50 10 49.901380086,G9IV           ,0
HIP 95261,* eta Tel                ,5.035,5.02,A0V+M7/8V      ,beta Pic,50,...,<5.73,...,...,...,HIP 95261,HIP 95261              ,* eta Tel                ,19 22 51.20620 -54 25 26.1473          ,A0V+M7/8V      ,0
HIP 95270,HD 181327                ,7.5,7.04,F6V            ,beta Pic,95+,...,<4.39,120,...,D09,HIP 95270,HIP 95270              ,HD 181327                ,19 22 58.9434412361 -54 32 16.979671096,F6V            ,0
2MASS J19560294-3207186,UCAC3 116-474938         ,14.79,13.23,M4             ,beta Pic,80,...,2.85B,500,...,Mc12,2MASS J19560294-3207186,2MASS J19560294-3207186,UCAC3 116-474938         ,19 56 02.9362903468 -32 07 18.772301422,M4             ,0
TYC 7443-1102-1,TYC 7443-1102-1          ,12.95,11.589,K9IVe          ,beta Pic,80,...,3.00B,110,12,M11; Mc12,TYC 7443-1102-1,TYC 7443-1102-1        ,TYC 7443-1102-1          ,19 56 04.3720064734 -32 07 37.674594262,K9IVe          ,0
HIP 99273,HD 191089                ,7.62,7.18,F5V            ,beta Pic,80,-4.59,4.83,58,...,W07,HIP 99273,HIP 99273              ,HD 191089                ,20 09 05.2158287736 -26 13 26.520539765,F5V            ,0
HIP 104308,HD 200798                ,6.93,6.7,A5/6IV/V       ,Tuc-Hor,80,...,<5.34,...,...,...,HIP 104308,HIP 104308             ,HD 200798                ,21 07 51.2212714094 -54 12 59.461109026,A5/6IV/V       ,0
HIP 107345,Smethells 86             ,13,11.628,M0Ve           ,Tuc-Hor,95+,...,3.22,55,4.5,D09; M10,HIP 107345,HIP 107345             ,Smethells 86             ,21 44 30.1228006899 -60 58 38.894974923,M0Ve           ,0
TYC 9340-437-1,CPD-72 2713              ,11.88,10.565,K7Ve           ,beta Pic,95+,...,2.9,440,4.5,D09; M10,TYC 9340-437-1,TYC 9340-437-1         ,CPD-72 2713              ,22 42 48.9341953274 -71 42 21.198383430,K7Ve           ,0
HIP 112312,V* WW PsA                ,13.627,12.111,M4IVe          ,beta Pic,95+,...,2.68B,0,2.4,D09; M10,HIP 112312,HIP 112312             ,V* WW PsA                ,22 44 57.9628865248 -33 15 01.745813330,M4IVe          ,1
TX PsA,V* TX PsA                ,14.93,13.36,M5IVe          ,beta Pic,95+,...,2.31B,450,...,D09,TX PsA,TX PsA                 ,V* TX PsA                ,22 45 00.0639785115 -33 15 26.096344309,M5IVe          ,0
TYC 5832-666-1,BD-13 6424               ,12.38,10.639,M0Ve           ,beta Pic,95+,...,3.05,185,5.7,D09; M10,TYC 5832-666-1,TYC 5832-666-1         ,BD-13 6424               ,23 32 30.8615303174 -12 15 51.465549870,M0Ve           ,0
HIP 118121,* eta Tuc                ,5.046,4.989,A1V            ,Tuc-Hor,95+,...,5.79,...,...,...,HIP 118121,HIP 118121             ,* eta Tuc                ,23 57 35.0785168096 -64 17 53.622899148,A1V            ,0
HIP 64792 (GJ 504),* e Vir                  ,5.81,     ~,G0V            ,...,...,-4.45,4.42,83,3.3,T05; M03,HIP 64792 (GJ 504),HIP 64792              ,* e Vir                  ,13 16 46.5161591991 +09 25 26.967205938,G0V            ,1
HIP 95319 (GJ 758),HD 182488                ,     ~,     ~,K0V            ,...,...,-5.08,<5.04,2,...,T05,HIP 95319 (GJ 758),HIP 95319              ,HD 182488                ,19 23 34.0133626629 +33 13 19.074920892,K0V            ,1
