#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-06-20T15:26:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d0ba5a703f5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/612/A99/ngc2451
#-nav=cat:J/A+A/612/A99&tab:{J/A+A/612/A99/ngc2451}&key:source=J/A+A/612/A99/ic4665&HTTPPRM:&&-ref=VIZ5d0ba5a703f5&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CName&-out=Cluster&-out=Inst&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=l_EWLi&-out=EWLi&-out=e_EWLi&-out=f_EWLi&-out=Gamma&-out=e_Gamma&-out=RV&-out=e_RV&-out=MembPA&-out=MembPB&-out=ID&-out=_RA&-out=_DE&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/A+A/612/A99/ngc2451
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/612/A99/ngc2451
#-out=CName
#-out=Cluster
#-out=Inst
#-out=Teff
#-out=e_Teff
#-out=logg
#-out=e_logg
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=l_EWLi
#-out=EWLi
#-out=e_EWLi
#-out=f_EWLi
#-out=Gamma
#-out=e_Gamma
#-out=RV
#-out=e_RV
#-out=MembPA
#-out=MembPB
#-out=ID
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36120099
#Name: J/A+A/612/A99
#Title: Gaia-ESO Survey in 7 open star cluster fields (Randich+, 2018)
#Table	J_A_A_612_A99_ngc2451:
#Name: J/A+A/612/A99/ngc2451
#Title: Parameters for NGC2451
#Column	CName	(A16)	Star ID (HHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Cluster	(A7)	Cluster name	[ucd=meta.id.parent]
#Column	Inst	(A7)	Intrument XX	[ucd=meta.note]
#Column	Teff	(I5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Effective temperature error [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F8.3)	? 10-logarithm surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F8.3)	? 10-logarithm surface gravity error	[ucd=stat.error]
#Column	[Fe/H]	(F8.3)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F8.3)	? Metallicity error	[ucd=stat.error;phys.abund.Fe]
#Column	l_EWLi	(A1)	[<] Upper limit flag on EWLi	[ucd=meta.code.error]
#Column	EWLi	(F8.3)	? Lithium line equivalent width	[ucd=spect.line.eqWidth]
#Column	e_EWLi	(F8.3)	? Lithium line equivalent width error	[ucd=stat.error]
#Column	f_EWLi	(I4)	[0/3]? Flag for lithium line equivalent width (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(F8.3)	? Gamma index	[ucd=meta.code;spect.index;em.gamma]
#Column	e_Gamma	(F8.3)	? Gamma index error	[ucd=stat.error]
#Column	RV	(F8.3)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F8.3)	? Radial velocity error	[ucd=stat.error]
#Column	MembPA	(F6.3)	? Membership probability: population A	[ucd=stat.probability]
#Column	MembPB	(F6.3)	? Membership probability: population B	[ucd=stat.probability]
#Column	ID	(I4)	Sequential ID number	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from CName (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from CName (declination part)	[ucd=pos.eq.dec;meta.main]
CName;Cluster;Inst;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];l_EWLi;EWLi;e_EWLi;f_EWLi;Gamma;e_Gamma;RV;e_RV;MembPA;MembPB;ID;_RA;_DE
07423945-3817148;NGC2451;GIRAFFE; 4246;    ;   3.196;        ;  -0.279;        ;<;  38.200;        ;   3;   1.026;   0.009; 136.315;   0.272;      ;      ; 480;115.66437;-38.28744
07424093-3755408;NGC2451;GIRAFFE; 5144;    ;   3.240;        ;  -0.510;        ;<;  41.100;        ;   3;   1.014;   0.005;  50.601;   0.251;      ;      ; 481;115.67054;-37.92800
07424109-3830287;NGC2451;GIRAFFE; 5180;  85;   3.743;        ;  -0.037;   0.055;<;  34.600;        ;   3;   0.987;   0.005;  64.366;   0.249;      ;      ; 482;115.67121;-38.50797
07424115-3758062;NGC2451;GIRAFFE; 4551; 147;   2.449;        ;  -0.363;   0.220;<;  24.300;        ;   3;   1.027;   0.012; 148.545;   0.346;      ;      ; 483;115.67146;-37.96839
07424119-3834418;NGC2451;GIRAFFE; 3462; 132;   4.405;        ;  -0.270;        ;<; 100.000;        ;   3;   0.819;   0.008;  23.658;   0.257; 0.863; 0.013; 484;115.67162;-38.57828
07424134-3810127;NGC2451;GIRAFFE; 5063;  62;   3.224;   0.180;  -0.178;   0.120;<;  24.000;        ;   3;   1.008;   0.005; 103.674;   0.246;      ;      ; 485;115.67225;-38.17019
07424179-3832382;NGC2451;GIRAFFE; 4862;  49;   2.598;   0.028;  -0.253;   0.095;<;  34.500;        ;   3;   1.013;   0.005; 149.400;   0.244;      ;      ; 486;115.67412;-38.54394
07424195-3754045;NGC2451;GIRAFFE; 5239; 234;   3.289;   0.134;  -0.230;   0.055;<;  20.800;        ;   3;   1.016;   0.006; 124.891;   0.253;      ;      ; 487;115.67479;-37.90125
07424241-3801456;NGC2451;GIRAFFE; 5116;    ;   4.520;        ;  -0.231;        ;<;  40.100;        ;   3;   0.952;   0.006;   8.797;   0.256;      ;      ; 488;115.67671;-38.02933
07424255-3831130;NGC2451;GIRAFFE; 5070;  45;   3.160;   0.189;  -0.029;   0.074; ;  40.633;   8.951;   0;   1.011;   0.004;  26.006;   0.243;      ;      ; 489;115.67729;-38.52028
07424259-3757036;NGC2451;GIRAFFE; 4851; 113;   2.511;   0.177;  -0.169;   0.105;<;  27.900;        ;   3;   1.024;   0.004; 119.277;   0.242;      ;      ; 490;115.67746;-37.95100
07424380-3832495;NGC2451;GIRAFFE; 5033;  65;   3.166;        ;  -0.064;   0.035;<;  24.800;        ;   3;   1.019;   0.005;  59.849;   0.248;      ;      ; 491;115.68250;-38.54708
07424477-3758240;NGC2451;GIRAFFE; 4747; 160;   2.737;   0.077;   0.026;   0.097;<;  40.100;        ;   3;   1.004;   0.003;  17.707;   0.241;      ;      ; 492;115.68654;-37.97333
07424513-3758028;NGC2451;GIRAFFE; 5075; 172;   3.160;        ;  -0.599;   0.028;<;  22.300;        ;   3;   0.996;   0.006; 126.703;   0.252;      ;      ; 493;115.68804;-37.96744
07424624-3833250;NGC2451;GIRAFFE; 5103; 186;   2.849;   0.023;  -0.434;   0.195;<;  21.400;        ;   3;   1.017;   0.006; 124.502;   0.255;      ;      ; 494;115.69267;-38.55694
07424656-3753385;NGC2451;GIRAFFE; 4942; 223;   2.949;        ;  -0.054;   0.050;<;  15.100;        ;   3;   1.004;   0.008;  63.566;   0.258;      ;      ; 495;115.69400;-37.89403
07424713-3829535;NGC2451;GIRAFFE; 5042;  24;   3.254;   0.038;  -0.092;   0.015;<;  17.100;        ;   3;   1.005;   0.002;  32.516;   0.240;      ;      ; 496;115.69637;-38.49819
07424733-3831405;NGC2451;GIRAFFE; 5090; 455;   3.160;        ;  -0.308;   0.201;<;  16.800;        ;   3;   1.021;   0.008; 135.732;   0.276;      ;      ; 497;115.69721;-38.52792
07424809-3758047;NGC2451;GIRAFFE; 4885;  54;   3.741;        ;  -0.592;   0.003;<;  21.300;        ;   3;   0.995;   0.007; 119.715;   0.266;      ;      ; 498;115.70037;-37.96797
07424823-3755582;NGC2451;GIRAFFE; 5012; 210;   3.157;        ;  -0.410;   0.067;<;  20.100;        ;   3;   1.017;   0.007; 143.162;   0.257;      ;      ; 499;115.70096;-37.93283
07424840-3840489;NGC2451;GIRAFFE; 5246; 148;   3.506;        ;  -0.162;   0.101; ;  53.400;        ;   0;   1.001;   0.009;  92.265;   0.298;      ;      ; 500;115.70167;-38.68025
07425004-3803242;NGC2451;GIRAFFE; 5017;    ;   2.274;        ;  -1.482;        ; ; 174.400;        ;    ;        ;        ;  32.827;   5.362;      ;      ; 501;115.70850;-38.05672
07425226-3829462;NGC2451;GIRAFFE; 4310; 352;   4.448;   0.111;  -0.078;   0.151;<;  59.900;        ;   3;   0.887;   0.007;  52.427;   0.261;      ;      ; 502;115.71775;-38.49617
07425237-3827433;NGC2451;GIRAFFE; 5031; 105;   2.934;        ;  -0.164;   0.166;<;  18.700;        ;   3;   1.011;   0.005;  61.328;   0.250;      ;      ; 503;115.71821;-38.46203
07425263-3841406;NGC2451;GIRAFFE; 5054; 110;   3.605;   0.036;  -0.053;   0.018; ;  34.800;   2.460;   0;   0.997;   0.005; -18.535;   0.247;      ;      ; 504;115.71929;-38.69461
07425298-3843235;NGC2451;GIRAFFE; 4794; 138;   2.914;   0.105;  -0.098;   0.156;<;  33.300;        ;   3;   1.000;   0.007;  30.186;   0.257;      ;      ; 505;115.72075;-38.72319
07425432-3842577;NGC2451;GIRAFFE; 5085; 177;   3.601;        ;  -0.345;   0.204; ;  25.950;   2.005;   0;   0.998;   0.003;   1.691;   0.243;      ;      ; 506;115.72633;-38.71603
07425461-3833309;NGC2451;GIRAFFE; 3974; 200;   4.347;        ;   0.000;   0.159; ; 225.433;  18.416;   0;   0.856;   0.005;  15.000;   0.242; 0.004; 0.936; 507;115.72754;-38.55858
07425496-3826123;NGC2451;GIRAFFE; 4581; 410;   2.870;        ;  -0.543;   0.018; ;  44.200;        ;   0;   1.004;   0.008; 119.867;   0.275;      ;      ; 508;115.72900;-38.43675
07425530-3754470;NGC2451;GIRAFFE; 5239;  63;   3.715;        ;  -0.212;   0.111;<;  30.300;        ;   3;   1.022;   0.006;  43.173;   0.253;      ;      ; 509;115.73042;-37.91306
07425532-3815195;NGC2451;GIRAFFE; 4921; 233;   2.349;        ;  -0.248;   0.291;<;  28.800;        ;   3;   1.020;   0.005;  75.109;   0.249;      ;      ; 510;115.73050;-38.25542
07425630-3827454;NGC2451;GIRAFFE; 5001; 151;   2.670;   0.080;  -0.263;   0.145;<;  29.600;        ;   3;   1.023;   0.006; 104.683;   0.255;      ;      ; 511;115.73458;-38.46261
07425653-3809171;NGC2451;GIRAFFE; 4913;    ;   4.198;        ;  -0.100;        ;<;  31.700;        ;   3;   0.900;   0.004;  37.100;   0.241;      ;      ; 512;115.73554;-38.15475
07425690-3808544;NGC2451;GIRAFFE; 4803; 182;   2.920;        ;  -0.179;   0.139;<;  19.000;        ;   3;   1.010;   0.008;  84.975;   0.258;      ;      ; 513;115.73708;-38.14844
07425744-3757494;NGC2451;GIRAFFE; 5008; 142;   3.112;        ;  -0.599;   0.105;<;  27.000;        ;   3;   1.016;   0.007; 131.814;   0.267;      ;      ; 514;115.73933;-37.96372
07425783-3837339;NGC2451;GIRAFFE; 5019; 127;   3.120;        ;  -0.081;   0.093; ;  46.900;        ;   0;   1.020;   0.004;  63.305;   0.248;      ;      ; 515;115.74096;-38.62608
07425892-3831587;NGC2451;GIRAFFE; 3435;  67;   4.600;   0.177;  -0.260;        ;<; 100.000;        ;   3;   0.840;   0.012;  15.183;   0.288; 0.003; 0.942; 516;115.74550;-38.53297
07430018-3836491;NGC2451;GIRAFFE; 4952;  75;   2.883;        ;  -0.416;   0.152;<;   9.500;        ;   3;   1.019;   0.005; 121.300;   0.265;      ;      ; 517;115.75075;-38.61364
07430058-3757301;NGC2451;GIRAFFE; 6267;    ;   4.101;        ;  -0.029;        ; ; 138.700;        ;   0;   1.000;   0.002;  15.072;   0.245; 0.005; 0.935; 518;115.75242;-37.95836
07430133-3806263;NGC2451;GIRAFFE; 4698;  16;   2.048;   0.036;  -0.442;   0.064;<;  27.800;        ;   3;   1.025;   0.004; 157.565;   0.242;      ;      ; 519;115.75554;-38.10731
07430263-3827030;NGC2451;GIRAFFE; 5088;  71;   2.935;        ;  -0.157;   0.155;<;  13.700;        ;   3;   1.009;   0.008;  89.258;   0.265;      ;      ; 520;115.76096;-38.45083
07430270-3803157;NGC2451;GIRAFFE; 3978;  64;   4.559;   0.126;  -0.062;   0.100; ;  41.100;        ;   0;   0.857;   0.006;  10.611;   0.255; 0.020; 0.190; 521;115.76125;-38.05436
07430285-3843552;NGC2451;GIRAFFE; 5003; 114;   2.848;        ;  -0.073;   0.112; ;  34.700;        ;   0;   1.010;   0.003;  12.074;   0.241;      ;      ; 522;115.76187;-38.73200
07430450-3835400;NGC2451;GIRAFFE; 5281;  21;   3.213;        ;  -0.225;   0.121;<;  45.900;        ;   3;   1.017;   0.009;  78.234;   0.356;      ;      ; 523;115.76875;-38.59444
07430505-3824381;NGC2451;GIRAFFE; 4955;  60;   2.883;   0.195;  -0.031;   0.031;<;  42.900;        ;   3;   1.021;   0.006;  81.928;   0.249;      ;      ; 524;115.77104;-38.41058
07430528-3759205;NGC2451;GIRAFFE; 3561;  21;   4.648;   0.127;  -0.260;        ;<; 100.000;        ;   3;   0.802;   0.007;  12.043;   0.249; 0.023; 0.322; 525;115.77200;-37.98903
07430554-3840428;NGC2451;GIRAFFE; 4619;  93;   2.690;        ;  -0.060;   0.107;<;  29.500;        ;   3;   1.021;   0.004;  25.790;   0.241;      ;      ; 526;115.77308;-38.67856
07430581-3823429;NGC2451;GIRAFFE; 4825;  63;   2.720;   0.034;  -0.067;   0.005;<;  33.300;        ;   3;   1.014;   0.006;  85.064;   0.248;      ;      ; 527;115.77421;-38.39525
07430613-3832380;NGC2451;GIRAFFE; 3665;  50;   4.222;        ;  -0.190;        ; ; 113.400;        ;   0;   0.832;   0.003;  23.364;   0.243; 0.869; 0.013; 528;115.77554;-38.54389
07430635-3809211;NGC2451;GIRAFFE; 4119; 526;   4.124;        ;  -0.140;        ;<;  77.200;        ;   3;   0.847;   0.005;  21.265;   0.416; 0.566; 0.072; 529;115.77646;-38.15586
07430689-3757178;NGC2451;GIRAFFE; 5078; 130;   2.756;        ;  -0.390;   0.160; ;  11.750;   1.935;   0;   1.010;   0.005;  69.181;   0.248;      ;      ; 530;115.77871;-37.95494
07430745-3829592;NGC2451;GIRAFFE; 4859;  98;   2.764;   0.037;  -0.057;   0.055;<;  21.200;        ;   3;   1.008;   0.006;  62.535;   0.247;      ;      ; 531;115.78104;-38.49978
07430754-3841144;NGC2451;GIRAFFE; 5685;  34;   3.830;   0.067;   0.089;   0.024;<;  24.800;        ;   3;   1.001;   0.002;   1.670;   0.242;      ;      ; 532;115.78142;-38.68733
07430773-3826578;NGC2451;GIRAFFE; 5057;  23;   3.409;        ;  -0.209;   0.073; ;  37.133;   8.409;   0;   1.005;   0.004; 114.038;   0.245;      ;      ; 533;115.78221;-38.44939
07430947-3833565;NGC2451;GIRAFFE; 3226;    ;   3.209;        ;  -1.480;        ;<; 100.000;        ;   3;   0.913;   0.018;  23.873;   0.603;      ;      ; 534;115.78946;-38.56569
07431068-3817272;NGC2451;GIRAFFE; 5071;    ;   3.369;        ;  -1.460;        ; ;  38.800;        ;    ;   1.013;        ; 109.120;   0.383;      ;      ; 535;115.79450;-38.29089
07431113-3805065;NGC2451;GIRAFFE; 5137;  89;   3.143;        ;  -0.284;   0.020; ;  28.500;        ;   0;   1.024;   0.004; 127.054;   0.244;      ;      ; 536;115.79637;-38.08514
07431122-3805443;NGC2451;GIRAFFE; 4921;  48;   3.050;        ;   0.140;   0.137; ; 357.000;        ;   0;        ;        ; -20.120;   0.240; 0.007; 0.017; 537;115.79675;-38.09564
07431134-3809107;NGC2451;GIRAFFE; 5142;    ;   2.894;        ;  -0.195;        ;<;  29.600;        ;   3;   1.006;   0.005;  14.714;   0.246;      ;      ; 538;115.79725;-38.15297
07431163-3806114;NGC2451;GIRAFFE; 4709;  17;   2.352;        ;  -0.574;   0.020; ;  39.300;        ;   0;   1.018;   0.007; 173.960;   0.255;      ;      ; 539;115.79846;-38.10317
07431196-3759577;NGC2451;GIRAFFE; 4893; 183;   4.510;        ;  -0.045;   0.034;<;  15.000;        ;   3;   0.966;   0.003;   0.231;   0.241;      ;      ; 540;115.79983;-37.99936
07431295-3843144;NGC2451;GIRAFFE; 3918; 136;   4.670;        ;  -0.325;   0.326;<;  24.800;        ;   3;   0.877;   0.010;  57.083;   0.401; 0.015; 0.017; 541;115.80396;-38.72067
07431329-3838162;NGC2451;GIRAFFE; 5096;  61;   2.868;        ;  -0.107;   0.136; ; 436.567;   7.106;   0;   1.019;   0.006;  54.168;   0.251;      ;      ; 542;115.80537;-38.63783
07431361-3812344;NGC2451;GIRAFFE; 3828; 113;   4.652;   0.012;  -0.170;        ;<;  22.500;        ;   3;   0.795;   0.009;  44.506;   0.280; 0.017; 0.014; 543;115.80671;-38.20956
07431401-3807439;NGC2451;GIRAFFE; 4930; 222;   4.432;   0.041;  -0.003;   0.050; ;  30.700;        ;   0;   0.960;   0.004;  53.857;   0.242;      ;      ; 544;115.80837;-38.12886
07431408-3813083;NGC2451;GIRAFFE; 3431;  76;   4.740;        ;  -0.260;        ;<; 100.000;        ;   3;   0.855;   0.015;  26.567;   0.492; 0.318; 0.033; 545;115.80867;-38.21897
07431424-3840074;NGC2451;GIRAFFE; 5052;  81;   2.769;        ;  -0.168;   0.139;<;  14.300;        ;   3;   1.018;   0.004;  75.463;   0.243;      ;      ; 546;115.80933;-38.66872
07431451-3810155;NGC2451;GIRAFFE; 4968;    ;   3.925;        ;  -0.653;        ; ;  20.300;        ;    ;   0.984;        ;  46.516;   0.288;      ;      ; 547;115.81046;-38.17097
07431452-3817035;NGC2451;GIRAFFE; 5036; 201;   3.380;        ;  -0.154;   0.203;<;  17.900;        ;   3;   1.012;   0.006;  39.632;   0.254;      ;      ; 548;115.81050;-38.28431
07431457-3830403;NGC2451;GIRAFFE; 4979; 131;   2.769;        ;  -0.191;   0.197;<;  14.400;        ;   3;   1.029;   0.005; 105.662;   0.245;      ;      ; 549;115.81071;-38.51119
07431486-3805018;NGC2451;GIRAFFE; 5029; 322;   2.887;        ;  -0.422;   0.283; ;  30.000;        ;   0;   1.020;   0.006; 128.010;   0.322;      ;      ; 550;115.81192;-38.08383
07431499-3805409;NGC2451;GIRAFFE; 5022;  93;   3.549;   0.099;  -0.112;   0.127; ;  28.533;   4.493;   0;   0.994;   0.007;  14.433;   0.264;      ;      ; 551;115.81246;-38.09469
07431512-3807248;NGC2451;GIRAFFE; 5074;    ;   2.916;        ;  -0.402;        ;<;  20.100;        ;   3;   1.006;   0.008;  74.621;   0.265;      ;      ; 552;115.81300;-38.12356
07431532-3836211;NGC2451;GIRAFFE; 4988;  23;   2.779;   0.033;  -0.013;   0.019;<;  19.800;        ;   3;   1.020;   0.004;  34.846;   0.243;      ;      ; 553;115.81383;-38.60586
07431591-3804224;NGC2451;GIRAFFE; 4828; 151;   2.563;        ;  -0.128;   0.056; ;  55.200;   4.525;   0;   1.016;   0.004;  60.535;   0.243;      ;      ; 554;115.81629;-38.07289
07431615-3816535;NGC2451;GIRAFFE; 4625; 379;   2.518;        ;  -0.334;   0.154;<;  22.800;        ;   3;   1.032;   0.008; 122.670;   0.270;      ;      ; 555;115.81729;-38.28153
07431622-3752041;NGC2451;GIRAFFE; 5279;    ;   4.401;        ;  -0.040;        ;<;  12.100;        ;   3;   0.982;   0.006;  43.605;   0.257;      ;      ; 556;115.81758;-37.86781
07431633-3809554;NGC2451;GIRAFFE; 5199; 101;   3.567;        ;  -0.231;   0.160;<;  18.000;        ;   3;   1.008;   0.002;  24.598;   0.241;      ;      ; 557;115.81804;-38.16539
07431640-3832476;NGC2451;GIRAFFE; 4969;    ;   2.123;        ;  -1.670;        ; ;  12.100;        ;    ;   1.003;        ; 296.523;   0.338;      ;      ; 558;115.81833;-38.54656
07431646-3844146;NGC2451;GIRAFFE; 6016; 214;   4.192;   0.044;   0.024;   0.019; ;  61.250;   2.805;   0;   0.995;   0.002;  27.926;   0.241; 0.183; 0.048; 559;115.81858;-38.73739
07431674-3825389;NGC2451;GIRAFFE; 4779; 143;   3.304;        ;  -0.377;   0.058; ;  35.300;        ;   0;   1.014;   0.007; 141.664;   0.260;      ;      ; 560;115.81975;-38.42747
07431681-3830377;NGC2451;GIRAFFE; 5217;  53;   3.420;        ;  -0.077;   0.102;<;  34.600;        ;   3;   1.010;   0.007;  38.893;   0.261;      ;      ; 561;115.82004;-38.51047
07431767-3837437;NGC2451;GIRAFFE; 5073;  47;   2.820;        ;  -0.142;   0.128;<;  29.100;        ;   3;   1.013;   0.004;  77.170;   0.244;      ;      ; 562;115.82362;-38.62881
07431783-3800543;NGC2451;GIRAFFE; 4897; 110;   2.672;        ;  -0.103;   0.019;<;  27.400;        ;   3;   1.016;   0.007;  73.885;   0.251;      ;      ; 563;115.82429;-38.01508
07431808-3745590;NGC2451;GIRAFFE; 5306;    ;   2.071;        ;  -1.030;        ; ;        ;        ;    ;        ;        ;  33.140;   5.844;      ;      ; 564;115.82533;-37.76639
07431841-3750059;NGC2451;GIRAFFE; 5142;  41;   3.696;   0.046;   0.015;   0.022;<;  48.000;        ;   3;   0.998;   0.005;  69.128;   0.248;      ;      ; 565;115.82671;-37.83497
07431847-3808209;NGC2451;GIRAFFE; 4595;  90;   2.328;   0.088;  -0.097;   0.045;<;  42.900;        ;   3;   1.016;   0.007;  70.630;   0.250;      ;      ; 566;115.82696;-38.13914
07431919-3816423;NGC2451;GIRAFFE; 4524; 401;   4.633;   0.172;  -0.214;   0.034;<;  55.900;        ;   3;   0.892;   0.008;   4.216;   0.275;      ;      ; 567;115.82996;-38.27842
07431941-3748319;NGC2451;GIRAFFE; 5208;   4;   3.710;        ;  -0.104;   0.066;<;  27.200;        ;   3;   1.004;   0.003;  49.827;   0.242;      ;      ; 568;115.83087;-37.80886
07431942-3831348;NGC2451;GIRAFFE; 4287;    ;   3.770;        ;  -0.740;        ;<;  16.100;        ;   3;   1.001;   0.008; 128.838;   0.286;      ;      ; 569;115.83092;-38.52633
07431986-3812485;NGC2451;GIRAFFE; 5047; 133;   3.330;        ;  -0.045;   0.068; ;  22.600;        ;   0;   1.012;   0.003;  54.721;   0.242;      ;      ; 570;115.83275;-38.21347
07432106-3812455;NGC2451;GIRAFFE; 5036; 269;   2.805;        ;  -0.183;   0.128;<;  12.300;        ;   3;   1.013;   0.004;  61.193;   0.244;      ;      ; 571;115.83775;-38.21264
07432129-3744272;NGC2451;GIRAFFE; 4998;  78;   3.109;        ;  -0.329;   0.106;<;  14.900;        ;   3;   1.013;   0.005;  77.972;   0.250;      ;      ; 572;115.83871;-37.74089
07432212-3744538;NGC2451;GIRAFFE; 5204; 242;   3.309;        ;  -0.365;   0.164;<;  19.200;        ;   3;   1.012;   0.009;  94.453;   0.421;      ;      ; 573;115.84217;-37.74828
07432221-3817216;NGC2451;GIRAFFE; 5036;  28;   2.912;   0.140;  -0.086;   0.085;<;  18.800;        ;   3;   1.017;   0.008;  42.058;   0.269;      ;      ; 574;115.84254;-38.28933
07432295-3814318;NGC2451;GIRAFFE; 5607;    ;   4.240;        ;   0.180;        ; ;  80.667;   8.320;   0;   0.992;   0.002;  91.196;   0.241;      ;      ; 575;115.84562;-38.24217
07432334-3744496;NGC2451;GIRAFFE; 5086;  20;   2.778;        ;  -0.163;   0.129; ;  39.500;        ;   0;   1.020;   0.006;  85.671;   0.260;      ;      ; 576;115.84725;-37.74711
07432363-3819141;NGC2451;GIRAFFE; 4930; 201;   3.240;        ;  -0.201;   0.198; ;  41.533;  11.955;   0;   1.008;   0.008;  78.076;   0.262;      ;      ; 577;115.84846;-38.32058
07432406-3801003;NGC2451;GIRAFFE; 4904;  50;   2.577;   0.087;  -0.325;   0.085;<;  24.600;        ;   3;   1.013;   0.006; 107.413;   0.252;      ;      ; 578;115.85025;-38.01675
07432440-3756131;NGC2451;GIRAFFE; 5328;  34;   4.200;        ;  -0.004;   0.066; ; 227.300;   2.360;   0;   0.996;   0.003;  15.479;   0.245; 0.004; 0.938; 579;115.85167;-37.93697
07432456-3829191;NGC2451;GIRAFFE; 5025;    ;   2.440;        ;  -0.507;        ; ; 111.133;  10.977;   0;   1.012;   0.009;  51.450;   0.681;      ;      ; 580;115.85233;-38.48864
07432519-3815002;NGC2451;GIRAFFE; 4949;  17;   3.168;        ;  -0.128;   0.072;<;  22.800;        ;   3;   1.027;   0.005;  54.573;   0.246;      ;      ; 581;115.85496;-38.25006
07432549-3815539;NGC2451;GIRAFFE; 5226; 150;   3.303;        ;  -0.456;   0.135;<;  32.100;        ;   3;   1.006;   0.004;  85.055;   0.251;      ;      ; 582;115.85621;-38.26497
07432578-3829561;NGC2451;GIRAFFE; 4967; 101;   3.142;   0.042;  -0.362;   0.002; ;  69.750;   5.515;   0;   1.002;   0.010;  95.872;   0.296;      ;      ; 583;115.85742;-38.49892
07432601-3832149;NGC2451;GIRAFFE; 5050;   3;   3.266;        ;  -0.231;   0.126; ;  68.000;        ;   0;   1.021;   0.009;  62.022;   0.268;      ;      ; 584;115.85837;-38.53747
07432640-3826322;NGC2451;GIRAFFE; 4554; 134;   3.458;        ;  -0.397;   0.137; ;  34.900;   4.440;   0;   1.018;   0.008; 138.294;   0.270;      ;      ; 585;115.86000;-38.44228
07432641-3820103;NGC2451;GIRAFFE; 3538;   2;   4.620;   0.160;  -0.240;        ;<; 100.000;        ;   3;   0.813;   0.011;  24.073;   0.335; 0.827; 0.016; 586;115.86004;-38.33619
07432772-3801430;NGC2451;GIRAFFE; 5022;  25;   2.949;   0.097;  -0.044;   0.035;<;  34.100;        ;   3;   1.016;   0.004;  81.352;   0.242;      ;      ; 587;115.86550;-38.02861
07432816-3746330;NGC2451;GIRAFFE; 4850;   7;   2.666;   0.077;  -0.120;   0.044;<;  17.600;        ;   3;   1.016;   0.005;  66.713;   0.245;      ;      ; 588;115.86733;-37.77583
07432827-3756573;NGC2451;GIRAFFE; 5040; 173;   4.098;   0.110;  -0.001;   0.001;<;  30.900;        ;   3;   0.977;   0.006;  17.150;   0.258;      ;      ; 589;115.86779;-37.94925
07432847-3817258;NGC2451;GIRAFFE; 4872;    ;   6.577;        ;  -3.056;        ; ;        ;        ;    ;        ;        ; 698.000;  22.908;      ;      ; 590;115.86862;-38.29050
07432859-3831391;NGC2451;GIRAFFE; 3947; 279;   4.239;        ;  -0.200;        ;<;  33.300;        ;   3;   0.836;   0.011;  44.725;   0.468; 0.019; 0.016; 591;115.86912;-38.52753
07432927-3837504;NGC2451;GIRAFFE; 3381;    ;   3.737;        ;  -1.364;        ;<; 100.000;        ;   3;   0.845;   0.018;  27.758;   0.396;      ;      ; 592;115.87196;-38.63067
07432928-3807272;NGC2451;GIRAFFE; 4670; 367;   4.448;   0.077;  -0.288;   0.138;<;  45.500;        ;   3;   0.932;   0.008;  61.719;   0.297;      ;      ; 593;115.87200;-38.12422
07432935-3811444;NGC2451;GIRAFFE; 6426;    ;   4.060;        ;  -0.021;        ;<;   4.700;        ;   3;   1.004;   0.003;  56.878;   0.253; 0.019; 0.021; 594;115.87229;-38.19567
07432984-3834056;NGC2451;GIRAFFE; 5039;  40;   2.953;        ;  -0.150;   0.059;<;  43.400;        ;   3;   1.024;   0.007;  57.248;   0.255;      ;      ; 595;115.87433;-38.56822
07432986-3811036;NGC2451;GIRAFFE; 5076;  59;   2.996;        ;  -0.167;   0.153; ;  38.900;        ;   0;   1.007;   0.004;  -0.062;   0.245;      ;      ; 596;115.87442;-38.18433
